Probabilidad,Diferencia,Esperado
0.100000,3,62.000000
0.100000,4,50.000000
0.100000,5,44.000000
0.100000,6,22.000000
0.100000,7,2.000000
0.100000,8,-4.000000
0.100000,9,-20.000000
0.100000,10,-20.000000
0.200000,3,44.000000
0.200000,4,40.000000
0.200000,5,38.000000
0.200000,6,10.000000
0.200000,7,-2.000000
0.200000,8,-24.000000
0.200000,9,-36.000000
0.200000,10,-88.000000
0.300000,3,46.000000
0.300000,4,16.000000
0.300000,5,-38.000000
0.300000,6,-42.000000
0.300000,7,-38.000000
0.300000,8,-104.000000
0.300000,9,-140.000000
0.300000,10,-134.000000
0.400000,3,16.000000
0.400000,4,-108.000000
0.400000,5,-90.000000
0.400000,6,-80.000000
0.400000,7,-336.000000
0.400000,8,-358.000000
0.400000,9,-180.000000
0.400000,10,-326.000000
0.500000,3,10.000000
0.500000,4,-10.000000
0.500000,5,-74.000000
0.500000,6,-472.000000
0.500000,7,-390.000000
0.500000,8,-564.000000
0.500000,9,-604.000000
0.500000,10,-1074.000000
0.600000,3,16.000000
0.600000,4,-60.000000
0.600000,5,-142.000000
0.600000,6,-126.000000
0.600000,7,-374.000000
0.600000,8,-284.000000
0.600000,9,-556.000000
0.600000,10,-270.000000
0.700000,3,42.000000
0.700000,4,20.000000
0.700000,5,-8.000000
0.700000,6,-28.000000
0.700000,7,-62.000000
0.700000,8,-96.000000
0.700000,9,-84.000000
0.700000,10,-130.000000
0.800000,3,52.000000
0.800000,4,24.000000
0.800000,5,-8.000000
0.800000,6,10.000000
0.800000,7,-16.000000
0.800000,8,-38.000000
0.800000,9,-48.000000
0.800000,10,-86.000000
0.900000,3,62.000000
0.900000,4,48.000000
0.900000,5,38.000000
0.900000,6,18.000000
0.900000,7,26.000000
0.900000,8,14.000000
0.900000,9,-16.000000
0.900000,10,-16.000000
1.000000,3,70.000000
1.000000,4,60.000000
1.000000,5,50.000000
1.000000,6,40.000000
1.000000,7,30.000000
1.000000,8,20.000000
1.000000,9,10.000000
1.000000,10,0.000000
0.100000,3,60.000000
0.100000,4,46.000000
0.100000,5,38.000000
0.100000,6,24.000000
0.100000,7,22.000000
0.100000,8,-4.000000
0.100000,9,4.000000
0.100000,10,-14.000000
0.200000,3,50.000000
0.200000,4,26.000000
0.200000,5,42.000000
0.200000,6,8.000000
0.200000,7,4.000000
0.200000,8,-76.000000
0.200000,9,-36.000000
0.200000,10,-50.000000
0.300000,3,56.000000
0.300000,4,24.000000
0.300000,5,-10.000000
0.300000,6,-14.000000
0.300000,7,-42.000000
0.300000,8,-166.000000
0.300000,9,-198.000000
0.300000,10,-170.000000
0.400000,3,34.000000
0.400000,4,-54.000000
0.400000,5,-128.000000
0.400000,6,-186.000000
0.400000,7,-170.000000
0.400000,8,-150.000000
0.400000,9,-322.000000
0.400000,10,-300.000000
0.500000,3,16.000000
0.500000,4,-134.000000
0.500000,5,-196.000000
0.500000,6,-150.000000
0.500000,7,-894.000000
0.500000,8,-408.000000
0.500000,9,-630.000000
0.500000,10,-756.000000
0.600000,3,2.000000
0.600000,4,-2.000000
0.600000,5,-140.000000
0.600000,6,-190.000000
0.600000,7,-108.000000
0.600000,8,-342.000000
0.600000,9,-268.000000
0.600000,10,-342.000000
0.700000,3,42.000000
0.700000,4,-2.000000
0.700000,5,-38.000000
0.700000,6,-40.000000
0.700000,7,-36.000000
0.700000,8,-94.000000
0.700000,9,-86.000000
0.700000,10,-152.000000
0.800000,3,44.000000
0.800000,4,24.000000
0.800000,5,32.000000
0.800000,6,-22.000000
0.800000,7,-14.000000
0.800000,8,-38.000000
0.800000,9,-42.000000
0.800000,10,-28.000000
0.900000,3,62.000000
0.900000,4,46.000000
0.900000,5,34.000000
0.900000,6,28.000000
0.900000,7,20.000000
0.900000,8,4.000000
0.900000,9,-14.000000
0.900000,10,-30.000000
1.000000,3,70.000000
1.000000,4,60.000000
1.000000,5,50.000000
1.000000,6,40.000000
1.000000,7,30.000000
1.000000,8,20.000000
1.000000,9,10.000000
1.000000,10,0.000000
0.100000,3,68.000000
0.100000,4,54.000000
0.100000,5,34.000000
0.100000,6,28.000000
0.100000,7,-2.000000
0.100000,8,10.000000
