Veces,Probabilidad,Diferencia,Pago_Lanzamiento,Pago_Finalizar,Esperado
10,0.500000,3,10.000000,100.000000,8.000000
500,0.500000,3,10.000000,100.000000,15.000000
10000,0.500000,3,10.000000,100.000000,9.324000
10,0.500000,3,10.000000,100.000000,-4.000000
500,0.500000,3,10.000000,100.000000,9.920000
10000,0.500000,3,10.000000,100.000000,9.780000
10,0.500000,3,10.000000,100.000000,28.000000
500,0.500000,3,10.000000,100.000000,5.040000
10000,0.500000,3,10.000000,100.000000,10.314000
10,0.500000,3,10.000000,100.000000,36.000000
500,0.500000,3,10.000000,100.000000,7.080000
10000,0.500000,3,10.000000,100.000000,10.288000
10,0.500000,3,10.000000,100.000000,28.000000
500,0.500000,3,10.000000,100.000000,12.760000
10000,0.500000,3,10.000000,100.000000,9.418000
10,0.500000,3,10.000000,100.000000,42.000000
500,0.500000,3,10.000000,100.000000,9.600000
10000,0.500000,3,10.000000,100.000000,10.384000
10,0.500000,3,10.000000,100.000000,2.000000
500,0.500000,3,10.000000,100.000000,11.600000
10000,0.500000,3,10.000000,100.000000,9.270000
10,0.500000,3,10.000000,100.000000,14.000000
500,0.500000,3,10.000000,100.000000,5.960000
10000,0.500000,3,10.000000,100.000000,10.150000
10,0.500000,3,10.000000,100.000000,-4.000000
500,0.500000,3,10.000000,100.000000,8.880000
10000,0.500000,3,10.000000,100.000000,8.568000
10,0.500000,3,10.000000,100.000000,14.000000
500,0.500000,3,10.000000,100.000000,8.480000
10000,0.500000,3,10.000000,100.000000,11.544000
10,0.500000,3,10.000000,100.000000,-6.000000
500,0.500000,3,10.000000,100.000000,10.920000
10000,0.500000,3,10.000000,100.000000,9.378000
10,0.500000,3,10.000000,100.000000,30.000000
500,0.500000,3,10.000000,100.000000,6.640000
10000,0.500000,3,10.000000,100.000000,10.930000
10,0.500000,3,10.000000,100.000000,12.000000
500,0.500000,3,10.000000,100.000000,6.440000
10000,0.500000,3,10.000000,100.000000,9.786000
10,0.500000,3,10.000000,100.000000,-34.000000
500,0.500000,3,10.000000,100.000000,10.040000
