Veces,Probabilidad,Diferencia,Pago_Lanzamiento,Pago_Finalizar,Esperado
500,0.500000,1,10.000000,100.000000,90.000000
500,0.500000,2,10.000000,100.000000,61.680000
500,0.500000,3,10.000000,100.000000,8.160000
500,0.500000,4,10.000000,100.000000,-49.240002
500,0.500000,5,10.000000,100.000000,-154.600006
500,0.500000,6,10.000000,100.000000,-264.959991
500,0.500000,7,10.000000,100.000000,-398.000000
500,0.500000,8,10.000000,100.000000,-497.320007
500,0.500000,9,10.000000,100.000000,-718.119995
500,0.500000,10,10.000000,100.000000,-963.239990
500,0.500000,1,10.000000,100.000000,90.000000
500,0.500000,2,10.000000,100.000000,59.080002
500,0.500000,3,10.000000,100.000000,9.200000
500,0.500000,4,10.000000,100.000000,-54.040001
500,0.500000,5,10.000000,100.000000,-151.080002
500,0.500000,6,10.000000,100.000000,-260.079987
500,0.500000,7,10.000000,100.000000,-392.040009
500,0.500000,8,10.000000,100.000000,-526.400024
500,0.500000,9,10.000000,100.000000,-661.280029
500,0.500000,10,10.000000,100.000000,-991.960022
500,0.500000,1,10.000000,100.000000,90.000000
500,0.500000,2,10.000000,100.000000,61.680000
500,0.500000,3,10.000000,100.000000,11.560000
500,0.500000,4,10.000000,100.000000,-59.560001
500,0.500000,5,10.000000,100.000000,-140.960007
500,0.500000,6,10.000000,100.000000,-260.119995
500,0.500000,7,10.000000,100.000000,-400.720001
500,0.500000,8,10.000000,100.000000,-501.279999
500,0.500000,9,10.000000,100.000000,-735.599976
500,0.500000,10,10.000000,100.000000,-899.119995
500,0.500000,1,10.000000,100.000000,90.000000
500,0.500000,2,10.000000,100.000000,61.360001
500,0.500000,3,10.000000,100.000000,6.160000
500,0.500000,4,10.000000,100.000000,-59.680000
500,0.500000,5,10.000000,100.000000,-153.279999
500,0.500000,6,10.000000,100.000000,-239.119995
500,0.500000,7,10.000000,100.000000,-388.040009
500,0.500000,8,10.000000,100.000000,-533.599976
500,0.500000,9,10.000000,100.000000,-731.640015
500,0.500000,10,10.000000,100.000000,-937.799988
500,0.500000,1,10.000000,100.000000,90.000000
500,0.500000,2,10.000000,100.000000,61.000000
500,0.500000,3,10.000000,100.000000,12.360000
500,0.500000,4,10.000000,100.000000,-53.799999
500,0.500000,5,10.000000,100.000000,-151.320007
500,0.500000,6,10.000000,100.000000,-245.639999
500,0.500000,7,10.000000,100.000000,-403.559998
500,0.500000,8,10.000000,100.000000,-581.400024
500,0.500000,9,10.000000,100.000000,-722.200012
500,0.500000,10,10.000000,100.000000,-837.039978
500,0.500000,1,10.000000,100.000000,90.000000
500,0.500000,2,10.000000,100.000000,62.439999
500,0.500000,3,10.000000,100.000000,10.520000
500,0.500000,4,10.000000,100.000000,-58.560001
500,0.500000,5,10.000000,100.000000,-142.800003
500,0.500000,6,10.000000,100.000000,-266.359985
500,0.500000,7,10.000000,100.000000,-393.600006
500,0.500000,8,10.000000,100.000000,-532.520020
500,0.500000,9,10.000000,100.000000,-710.559998
500,0.500000,10,10.000000,100.000000,-898.919983
500,0.500000,1,10.000000,100.000000,90.000000
500,0.500000,2,10.000000,100.000000,59.160000
500,0.500000,3,10.000000,100.000000,12.240000
500,0.500000,4,10.000000,100.000000,-55.919998
500,0.500000,5,10.000000,100.000000,-143.440002
500,0.500000,6,10.000000,100.000000,-251.320007
500,0.500000,7,10.000000,100.000000,-382.040009
500,0.500000,8,10.000000,100.000000,-537.280029
500,0.500000,9,10.000000,100.000000,-693.239990
500,0.500000,10,10.000000,100.000000,-950.359985
500,0.500000,1,10.000000,100.000000,90.000000
500,0.500000,2,10.000000,100.000000,61.160000
500,0.500000,3,10.000000,100.000000,13.600000
500,0.500000,4,10.000000,100.000000,-55.000000
500,0.500000,5,10.000000,100.000000,-147.880005
500,0.500000,6,10.000000,100.000000,-243.399994
500,0.500000,7,10.000000,100.000000,-413.320007
500,0.500000,8,10.000000,100.000000,-533.960022
500,0.500000,9,10.000000,100.000000,-691.440002
500,0.500000,10,10.000000,100.000000,-937.799988
500,0.500000,1,10.000000,100.000000,90.000000
500,0.500000,2,10.000000,100.000000,60.040001
500,0.500000,3,10.000000,100.000000,6.480000
500,0.500000,4,10.000000,100.000000,-56.639999
500,0.500000,5,10.000000,100.000000,-157.279999
500,0.500000,6,10.000000,100.000000,-256.399994
500,0.500000,7,10.000000,100.000000,-413.440002
500,0.500000,8,10.000000,100.000000,-517.320007
500,0.500000,9,10.000000,100.000000,-681.479980
500,0.500000,10,10.000000,100.000000,-806.039978
500,0.500000,1,10.000000,100.000000,90.000000
500,0.500000,2,10.000000,100.000000,59.959999
500,0.500000,3,10.000000,100.000000,7.520000
500,0.500000,4,10.000000,100.000000,-51.160000
500,0.500000,5,10.000000,100.000000,-141.479996
500,0.500000,6,10.000000,100.000000,-261.040009
500,0.500000,7,10.000000,100.000000,-410.440002
500,0.500000,8,10.000000,100.000000,-527.200012
500,0.500000,9,10.000000,100.000000,-760.640015
500,0.500000,10,10.000000,100.000000,-811.000000
500,0.500000,1,10.000000,100.000000,90.000000
500,0.500000,2,10.000000,100.000000,60.320000
500,0.500000,3,10.000000,100.000000,8.840000
500,0.500000,4,10.000000,100.000000,-65.839996
500,0.500000,5,10.000000,100.000000,-156.720001
500,0.500000,6,10.000000,100.000000,-266.359985
500,0.500000,7,10.000000,100.000000,-397.640015
500,0.500000,8,10.000000,100.000000,-535.599976
500,0.500000,9,10.000000,100.000000,-698.200012
500,0.500000,10,10.000000,100.000000,-881.799988
500,0.500000,1,10.000000,100.000000,90.000000
500,0.500000,2,10.000000,100.000000,60.840000
500,0.500000,3,10.000000,100.000000,8.720000
500,0.500000,4,10.000000,100.000000,-50.000000
500,0.500000,5,10.000000,100.000000,-138.479996
500,0.500000,6,10.000000,100.000000,-248.119995
500,0.500000,7,10.000000,100.000000,-397.040009
500,0.500000,8,10.000000,100.000000,-525.760010
500,0.500000,9,10.000000,100.000000,-754.039978
500,0.500000,10,10.000000,100.000000,-904.559998
500,0.500000,1,10.000000,100.000000,90.000000
500,0.500000,2,10.000000,100.000000,59.520000
500,0.500000,3,10.000000,100.000000,5.440000
500,0.500000,4,10.000000,100.000000,-68.320000
500,0.500000,5,10.000000,100.000000,-139.520004
500,0.500000,6,10.000000,100.000000,-257.760010
500,0.500000,7,10.000000,100.000000,-411.000000
500,0.500000,8,10.000000,100.000000,-527.880005
500,0.500000,9,10.000000,100.000000,-701.640015
500,0.500000,10,10.000000,100.000000,-873.440002
500,0.500000,1,10.000000,100.000000,90.000000
500,0.500000,2,10.000000,100.000000,60.160000
500,0.500000,3,10.000000,100.000000,7.520000
500,0.500000,4,10.000000,100.000000,-61.720001
500,0.500000,5,10.000000,100.000000,-153.600006
500,0.500000,6,10.000000,100.000000,-274.839996
500,0.500000,7,10.000000,100.000000,-382.959991
500,0.500000,8,10.000000,100.000000,-543.799988
500,0.500000,9,10.000000,100.000000,-690.039978
500,0.500000,10,10.000000,100.000000,-926.719971
500,0.500000,1,10.000000,100.000000,90.000000
500,0.500000,2,10.000000,100.000000,61.000000
500,0.500000,3,10.000000,100.000000,13.760000
500,0.500000,4,10.000000,100.000000,-50.480000
500,0.500000,5,10.000000,100.000000,-127.720001
500,0.500000,6,10.000000,100.000000,-261.000000
500,0.500000,7,10.000000,100.000000,-382.399994
500,0.500000,8,10.000000,100.000000,-538.440002
500,0.500000,9,10.000000,100.000000,-687.760010
500,0.500000,10,10.000000,100.000000,-883.239990
500,0.500000,1,10.000000,100.000000,90.000000
500,0.500000,2,10.000000,100.000000,60.599998
500,0.500000,3,10.000000,100.000000,11.640000
500,0.500000,4,10.000000,100.000000,-67.919998
500,0.500000,5,10.000000,100.000000,-150.919998
500,0.500000,6,10.000000,100.000000,-249.679993
500,0.500000,7,10.000000,100.000000,-408.320007
500,0.500000,8,10.000000,100.000000,-554.359985
500,0.500000,9,10.000000,100.000000,-717.559998
500,0.500000,10,10.000000,100.000000,-959.840027
500,0.500000,1,10.000000,100.000000,90.000000
500,0.500000,2,10.000000,100.000000,61.880001
500,0.500000,3,10.000000,100.000000,5.080000
500,0.500000,4,10.000000,100.000000,-67.160004
500,0.500000,5,10.000000,100.000000,-147.520004
500,0.500000,6,10.000000,100.000000,-245.440002
500,0.500000,7,10.000000,100.000000,-385.000000
500,0.500000,8,10.000000,100.000000,-590.280029
500,0.500000,9,10.000000,100.000000,-683.000000
500,0.500000,10,10.000000,100.000000,-874.960022
500,0.500000,1,10.000000,100.000000,90.000000
500,0.500000,2,10.000000,100.000000,60.240002
500,0.500000,3,10.000000,100.000000,8.000000
500,0.500000,4,10.000000,100.000000,-59.200001
500,0.500000,5,10.000000,100.000000,-161.559998
500,0.500000,6,10.000000,100.000000,-262.760010
500,0.500000,7,10.000000,100.000000,-390.200012
