Veces,s-S,M-CostoTotal,M-CostoPedido,M-CostoMantenimiento,M-CostoDeficit
1,0-40,155.970,88.783,5.503,61.684
5,0-40,148.223,88.382,5.769,54.072
10,0-40,147.587,88.524,5.691,53.372
50,0-40,147.544,88.336,5.719,53.490
100,0-40,145.225,87.592,5.847,51.785
500,0-40,145.942,87.862,5.840,52.240
1,0-60,135.840,82.083,13.080,40.676
5,0-60,135.634,83.737,13.007,38.890
10,0-60,136.432,84.938,13.062,38.433
50,0-60,136.386,84.481,13.062,38.843
100,0-60,136.774,84.924,12.864,38.986
500,0-60,136.514,84.763,12.961,38.789
1,0-80,145.826,84.792,19.967,41.066
5,0-80,137.061,84.452,20.767,31.842
10,0-80,137.570,84.571,21.111,31.889
50,0-80,133.337,82.366,21.351,29.620
100,0-80,134.039,82.366,21.251,30.421
500,0-80,133.770,82.081,21.386,30.303
1,0-100,134.972,79.042,29.936,25.994
5,0-100,135.024,79.688,30.638,24.697
10,0-100,137.497,81.671,29.931,25.896
50,0-100,135.921,80.836,30.389,24.696
100,0-100,137.362,81.692,30.135,25.534
500,0-100,136.554,81.210,30.219,25.125
1,20-40,123.831,97.983,9.243,16.605
5,20-40,124.416,96.702,9.141,18.573
10,20-40,122.891,96.976,9.320,16.595
50,20-40,125.447,97.773,9.023,18.652
100,20-40,124.905,97.536,9.125,18.244
500,20-40,124.912,97.602,9.113,18.197
1,20-60,121.289,88.908,16.949,15.432
5,20-60,117.453,87.310,17.956,12.187
10,20-60,116.978,86.764,17.727,12.487
50,20-60,118.363,88.216,17.512,12.635
100,20-60,118.882,88.511,17.544,12.827
500,20-60,118.531,88.211,17.581,12.738
1,20-80,121.398,84.142,27.294,9.963
5,20-80,122.864,86.423,26.729,9.712
10,20-80,123.387,86.112,26.360,10.915
50,20-80,121.253,84.944,26.895,9.414
100,20-80,121.305,84.658,27.023,9.624
500,20-80,121.242,84.940,26.903,9.399
1,20-100,132.348,84.317,36.120,11.911
5,20-100,127.779,83.143,37.151,7.485
10,20-100,126.677,82.557,36.394,7.726
50,20-100,126.243,82.480,36.700,7.063
100,20-100,127.418,83.309,36.333,7.776
500,20-100,126.925,82.937,36.537,7.450
1,40-60,123.838,94.975,26.788,2.075
5,40-60,126.334,99.223,25.107,2.004
10,40-60,124.376,96.937,25.602,1.838
50,40-60,125.324,97.786,25.663,1.875
100,40-60,126.202,98.755,25.529,1.918
500,40-60,125.791,98.371,25.482,1.938
1,40-80,125.931,88.358,35.936,1.637
5,40-80,124.904,88.447,35.198,1.260
10,40-80,124.794,88.553,35.264,0.977
50,40-80,125.591,89.433,34.803,1.355
100,40-80,126.386,90.242,34.679,1.465
500,40-80,125.566,89.135,35.023,1.407
1,40-100,132.057,86.117,44.451,1.489
5,40-100,131.866,85.780,45.319,0.767
10,40-100,131.559,85.652,44.998,0.910
50,40-100,131.512,85.540,45.033,0.939
100,40-100,131.566,85.505,45.055,1.005
500,40-100,131.704,85.595,45.059,1.050
1,60-80,141.401,95.950,45.435,0.017
5,60-80,143.565,98.700,44.763,0.102
10,60-80,142.739,97.702,44.959,0.078
50,60-80,143.693,98.830,44.803,0.060
100,60-80,144.064,99.154,44.830,0.079
500,60-80,143.724,98.736,44.912,0.075
1,60-100,145.347,89.292,56.055,0.000
5,60-100,145.132,90.763,54.310,0.058
10,60-100,144.263,89.616,54.554,0.093
50,60-100,143.963,89.327,54.579,0.058
100,60-100,144.300,89.638,54.609,0.053
500,60-100,144.115,89.568,54.485,0.062
