	t	x	y
	0	10000	100
	1	10171	99.9983
	2	10353.6	99.9967
	3	10548.9	99.9952
	4	10757.5	99.9937
	5	10980.5	99.9924
	6	11218.8	99.9911
	7	11473.5	99.99
	8	11745.6	99.989
	9	12036.4	99.9881
	10	12347.1	99.9874
	11	12679.2	99.9868
	12	13034	99.9863
	13	13413.2	99.986
	14	13818.4	99.9859
	15	14251.3	99.9859
	16	14713.9	99.9862
	17	15208.2	99.9867
	18	15736.4	99.9874
	19	16300.8	99.9883
	20	16903.7	99.9895
	21	17548	99.991
	22	18236.3	99.9928
	23	18971.7	99.9949
	24	19757.4	99.9973
	25	20596.8	100
	26	21493.6	100.003
	27	22451.6	100.007
	28	23475.1	100.011
	29	24568.4	100.015
	30	25736.3	100.02
	31	26983.8	100.026
	32	28316.3	100.032
	33	29739.5	100.039
	34	31259.7	100.046
	35	32883.2	100.054
	36	34617.1	100.063
	37	36468.8	100.073
	38	38446.1	100.083
	39	40557.6	100.095
	40	42812.1	100.107
	41	45219.2	100.12
	42	47789.1	100.135
	43	50532.6	100.15
	44	53461.1	100.167
	45	56587	100.186
	46	59923.3	100.205
	47	63483.8	100.227
	48	67283.1	100.25
	49	71337	100.274
	50	75662	100.301
	51	80275.6	100.329
	52	85196.7	100.36
	53	90444.8	100.393
	54	96041.1	100.428
	55	102008	100.466
	56	108368	100.507
	57	115147	100.551
	58	122371	100.598
	59	130067	100.648
	60	138266	100.702
	61	146996	100.759
	62	156292	100.821
	63	166188	100.887
	64	176718	100.957
	65	187920	101.033
	66	199835	101.114
	67	212503	101.2
	68	225967	101.292
	69	240273	101.391
	70	255466	101.496
	71	271596	101.609
	72	288713	101.729
	73	306869	101.857
	74	326117	101.994
	75	346514	102.14
	76	368115	102.296
	77	390979	102.462
	78	415164	102.639
	79	440731	102.828
	80	467741	103.029
	81	496253	103.244
	82	526328	103.472
	83	558028	103.715
	84	591411	103.973
	85	626535	104.248
	86	663457	104.541
	87	702230	104.852
	88	742905	105.182
	89	785530	105.533
	90	830146	105.906
	91	876791	106.301
	92	925497	106.721
	93	976290	107.165
	94	1.02919e+06	107.637
	95	1.08419e+06	108.136
	96	1.14132e+06	108.665
	97	1.20054e+06	109.225
	98	1.26185e+06	109.816
	99	1.32522e+06	110.442
	100	1.3906e+06	111.103
	101	1.45793e+06	111.801
	102	1.52716e+06	112.537
	103	1.59821e+06	113.313
	104	1.67098e+06	114.131
	105	1.74537e+06	114.993
	106	1.82127e+06	115.9
	107	1.89855e+06	116.853
	108	1.97707e+06	117.855
	109	2.0567e+06	118.908
	110	2.13726e+06	120.012
	111	2.2186e+06	121.171
	112	2.30054e+06	122.384
	113	2.38292e+06	123.655
	114	2.46555e+06	124.985
	115	2.54824e+06	126.376
	116	2.63083e+06	127.829
	117	2.71312e+06	129.345
	118	2.79493e+06	130.928
	119	2.8761e+06	132.578
	120	2.95644e+06	134.296
	121	3.03581e+06	136.085
	122	3.11404e+06	137.946
	123	3.191e+06	139.88
	124	3.26654e+06	141.89
	125	3.34054e+06	143.976
	126	3.41289e+06	146.14
	127	3.48349e+06	148.383
	128	3.55225e+06	150.708
	129	3.6191e+06	153.115
	130	3.68397e+06	155.605
	131	3.74681e+06	158.181
	132	3.80759e+06	160.843
	133	3.86627e+06	163.593
	134	3.92284e+06	166.432
	135	3.97729e+06	169.363
	136	4.02962e+06	172.385
	137	4.07984e+06	175.501
	138	4.12798e+06	178.712
	139	4.17406e+06	182.02
	140	4.2181e+06	185.425
	141	4.26016e+06	188.93
	142	4.30028e+06	192.536
	143	4.3385e+06	196.244
	144	4.37487e+06	200.057
	145	4.40944e+06	203.975
	146	4.44229e+06	208.001
	147	4.47345e+06	212.136
	148	4.503e+06	216.381
	149	4.53099e+06	220.74
	150	4.55748e+06	225.212
	151	4.58254e+06	229.801
	152	4.60622e+06	234.508
	153	4.62858e+06	239.336
	154	4.64969e+06	244.285
	155	4.66959e+06	249.359
	156	4.68835e+06	254.56
	157	4.70603e+06	259.888
	158	4.72266e+06	265.348
	159	4.73832e+06	270.941
	160	4.75304e+06	276.67
	161	4.76687e+06	282.537
	162	4.77986e+06	288.544
	163	4.79206e+06	294.694
	164	4.8035e+06	300.991
	165	4.81423e+06	307.435
	166	4.82429e+06	314.031
	167	4.83371e+06	320.781
	168	4.84253e+06	327.688
	169	4.85078e+06	334.754
	170	4.85849e+06	341.984
	171	4.8657e+06	349.38
	172	4.87243e+06	356.946
	173	4.87872e+06	364.684
	174	4.88457e+06	372.598
	175	4.89003e+06	380.691
	176	4.89511e+06	388.967
	177	4.89984e+06	397.43
	178	4.90423e+06	406.083
	179	4.90831e+06	414.93
	180	4.91209e+06	423.975
	181	4.91559e+06	433.222
	182	4.91883e+06	442.674
	183	4.92182e+06	452.336
	184	4.92457e+06	462.212
	185	4.9271e+06	472.307
	186	4.92943e+06	482.624
	187	4.93156e+06	493.168
	188	4.9335e+06	503.943
	189	4.93527e+06	514.955
	190	4.93687e+06	526.208
	191	4.93832e+06	537.707
	192	4.93962e+06	549.456
	193	4.94078e+06	561.461
	194	4.94181e+06	573.727
	195	4.94272e+06	586.259
	196	4.9435e+06	599.062
	197	4.94418e+06	612.142
	198	4.94474e+06	625.504
	199	4.94521e+06	639.153
	200	4.94558e+06	653.097
	201	4.94586e+06	667.339
	202	4.94605e+06	681.887
	203	4.94615e+06	696.746
	204	4.94618e+06	711.923
	205	4.94614e+06	727.423
	206	4.94601e+06	743.253
