	t	x	y	pescados
	0	10000	125
	1	10041.7	124.996	0
	2	10086.3	124.992	0
	3	10134	124.988	0
	4	10185	124.984	0
	5	10239.5	124.98	0
	6	10297.7	124.976	0
	7	10360	124.972	0
	8	10426.6	124.968	0
	9	10497.7	124.964	0
	10	10573.8	124.961	0
	11	10655.1	124.957	0
	12	10742	124.953	0
	13	10834.9	124.949	0
	14	10934.2	124.946	0
	15	11040.3	124.942	0
	16	11153.7	124.939	0
	17	11274.9	124.935	0
	18	11404.4	124.932	0
	19	11542.9	124.929	0
	20	11690.9	124.926	0
	21	11849	124.923	0
	22	12018	124.92	0
	23	12198.6	124.917	0
	24	12391.6	124.914	0
	25	12597.9	124.911	0
	26	12818.3	124.909	0
	27	13053.9	124.906	0
	28	13305.6	124.904	0
	29	13574.6	124.902	0
	30	13862	124.9	0
	31	14169.2	124.898	0
	32	14497.4	124.896	0
	33	14848.1	124.895	0
	34	15222.8	124.893	0
	35	15623.2	124.892	0
	36	16051.1	124.891	0
	37	16508.2	124.891	0
	38	16996.7	124.89	0
	39	17518.6	124.89	0
	40	18076.2	124.891	0
	41	18672	124.891	0
	42	19308.5	124.892	0
	43	19988.5	124.893	0
	44	20715.1	124.895	0
	45	21491.2	124.897	0
	46	22320.4	124.9	0
	47	23206.2	124.903	0
	48	24152.5	124.906	0
	49	25163.4	124.91	0
	50	26243.2	124.915	0
	51	27396.6	124.92	0
	52	28628.5	124.926	0
	53	29944.4	124.933	0
	54	31349.8	124.94	0
	55	32850.9	124.948	0
	56	34453.9	124.957	0
	57	36165.9	124.967	0
	58	37994	124.978	0
	59	39946.1	124.99	0
	60	42030.5	125.003	0
	61	44256.1	125.018	0
	62	46632.2	125.033	0
	63	49168.9	125.05	0
	64	51876.7	125.069	0
	65	54767.2	125.089	0
	66	57852.3	125.11	0
	67	61144.9	125.134	0
	68	64658.6	125.159	0
	69	68408	125.186	0
	70	72408.3	125.216	0
	71	76676.1	125.248	0
	72	81228.5	125.282	0
	73	86084.1	125.319	0
	74	91262.3	125.358	0
	75	96783.8	125.401	0
	76	102670	125.447	0
	77	108946	125.496	0
	78	115634	125.549	0
	79	122760	125.606	0
	80	130353	125.667	0
	81	138441	125.732	0
	82	147054	125.802	0
	83	156224	125.877	0
	84	165986	125.957	0
	85	176373	126.043	0
	86	187425	126.136	0
	87	199178	126.234	0
	88	211675	126.34	0
	89	224958	126.452	0
	90	239071	126.573	0
	91	254060	126.702	0
	92	269974	126.839	0
	93	286862	126.986	0
	94	304775	127.143	0
	95	323768	127.311	0
	96	343894	127.49	0
	97	365211	127.681	0
	98	387775	127.885	0
	99	411645	128.102	0
	100	436881	128.333	0
	101	463543	128.58	0
	102	491691	128.843	0
	103	521387	129.123	0
	104	552689	129.421	0
	105	585658	129.739	0
	106	620352	130.076	0
	107	656827	130.435	0
	108	695138	130.817	0
	109	735335	131.223	0
	110	777466	131.654	0
	111	821576	132.112	0
	112	867701	132.598	0
	113	915876	133.113	0
	114	966126	133.66	0
	115	1.01847e+06	134.24	0
	116	1.07292e+06	134.854	0
	117	1.12948e+06	135.504	0
	118	1.18814e+06	136.192	0
	119	1.24888e+06	136.92	0
	120	1.31169e+06	137.69	0
	121	1.3765e+06	138.503	0
	122	1.44329e+06	139.361	0
	123	1.51198e+06	140.267	0
	124	1.58249e+06	141.223	0
	125	1.65475e+06	142.23	0
	126	1.72865e+06	143.291	0
	127	1.80408e+06	144.407	0
	128	1.88092e+06	145.581	0
	129	1.95902e+06	146.816	0
	130	2.03826e+06	148.112	0
	131	2.11847e+06	149.473	0
	132	2.1995e+06	150.9	0
	133	2.28116e+06	152.396	0
	134	2.3633e+06	153.962	0
	135	2.44573e+06	155.601	0
	136	2.52827e+06	157.316	0
	137	2.61074e+06	159.107	0
	138	2.69296e+06	160.977	0
	139	2.77475e+06	162.929	0
	140	2.85593e+06	164.964	0
	141	2.93633e+06	167.084	0
	142	3.01579e+06	169.291	0
	143	3.09416e+06	171.587	0
	144	3.17128e+06	173.975	0
	145	3.24703e+06	176.455	0
	146	3.32127e+06	179.03	0
	147	3.39388e+06	181.701	0
	148	3.46478e+06	184.471	0
	149	3.53385e+06	187.341	0
	150	3.60104e+06	190.313	0
	151	3.66627e+06	193.389	0
	152	3.72949e+06	196.57	0
	153	3.79065e+06	199.858	0
	154	3.84973e+06	203.255	0
	155	3.9067e+06	206.763	0
	156	3.96156e+06	210.383	0
	157	4.0143e+06	214.117	0
	158	4.06494e+06	217.967	0
	159	4.11349e+06	221.935	0
	160	4.15997e+06	226.022	0
	161	4.20442e+06	230.23	0
	162	4.24688e+06	234.561	0
	163	4.28738e+06	239.018	0
	164	4.32598e+06	243.601	0
