x;y;veces;Best_s;Ganancia_esperada;tiempo
10;1;100;87;452.600000;0.001296
10;1;1000;96;416.030000;0.013941
10;1;5000;89;404.830000;0.062063
10;1;10000;93;405.324000;0.125970
10;1;100000;90;401.903400;1.241647
10;5;100;60;152.100000;0.001286
10;5;1000;54;132.020000;0.012689
10;5;5000;50;124.414000;0.063354
10;5;10000;54;123.520000;0.127698
10;5;100000;48;123.101100;1.254433
10;8;100;30;29.500000;0.001276
10;8;1000;20;21.380000;0.012423
10;8;5000;16;19.664000;0.064112
10;8;10000;22;20.024000;0.127483
10;8;100000;20;19.091300;1.260559
15;10;100;34;119.300000;0.001311
15;10;1000;35;88.825000;0.012580
15;10;5000;35;81.895000;0.063079
15;10;10000;34;82.023500;0.135397
15;10;100000;34;81.319700;1.256663
