porcentaje_ocio,media_en_cola,tiempo_ejecucion
33.2153,1.46596,0.017764
33.581,1.27498,0.0192578
31.4516,1.43909,0.0116043
32.2032,1.42206,0.00640796
32.2279,1.38369,0.00636363
32.2403,1.3655,0.00636611
34.101,1.26265,0.00649712
33.2375,1.22868,0.00644807
34.1661,1.22599,0.00647422
31.9799,1.37213,0.00639269
32.2464,1.41723,0.00647946
33.2049,1.44902,0.00643195
31.9266,1.39347,0.00644966
33.674,1.32124,0.0064357
33.7882,1.27827,0.00662094
32.1066,1.5238,0.00632761
32.9215,1.35507,0.00654036
34.4804,1.17533,0.00641551
33.4633,1.37228,0.00644002
32.8544,1.38085,0.00634862
33.3152,1.15754,0.00642834
32.7144,1.3105,0.00649212
32.3875,1.45448,0.00641245
33.4588,1.30823,0.00641008
33.5015,1.34858,0.00647124
32.4755,1.37264,0.0064352
34.395,1.24273,0.00640345
32.8094,1.30113,0.00639362
34.0811,1.25989,0.00647999
33.8899,1.23326,0.00640519
33.0033,1.45125,0.00639769
33.3544,1.306,0.00638757
33.0816,1.44963,0.0064543
33.9934,1.34004,0.00650338
34.5934,1.23078,0.00648537
33.0819,1.32093,0.00640506
32.9457,1.33291,0.00642185
31.7246,1.54607,0.00632248
32.6993,1.36439,0.00640872
34.4022,1.24656,0.00645698
31.8457,1.43631,0.00637423
33.2843,1.29779,0.00645964
32.7142,1.33649,0.00649304
32.9428,1.43881,0.00644148
32.0739,1.45466,0.00635147
35.1683,1.14319,0.00657833
33.8365,1.26335,0.00647446
34.9605,1.11442,0.00646516
32.8346,1.35722,0.0063938
34.3867,1.43888,0.00656004
31.7862,1.39646,0.00628155
33.6659,1.15523,0.00647366
34.8159,1.14545,0.00647389
32.3113,1.50455,0.00634489
32.9698,1.44994,0.00647398
34.0123,1.21772,0.00645462
32.9163,1.30237,0.0064332
32.5366,1.36923,0.00644909
33.4594,1.19526,0.00639662
33.6906,1.25563,0.00635808
33.8832,1.2543,0.00646074
32.0282,1.47687,0.00641212
32.3527,1.2808,0.0063911
34.3913,1.31548,0.00638437
33.1884,1.38519,0.00639156
31.9036,1.57494,0.00640532
33.0778,1.27331,0.00643734
34.0118,1.2729,0.00643051
33.2821,1.30728,0.00647738
33.2405,1.28265,0.00641873
31.4696,1.5725,0.00634152
32.7324,1.37674,0.00642987
34.1629,1.27416,0.00647876
32.9172,1.31724,0.00646619
32.3082,1.48237,0.00643021
34.559,1.32427,0.00648079
32.9035,1.31934,0.00634132
31.6488,1.42783,0.00631695
32.9343,1.41191,0.0063997
33.2852,1.21903,0.00644115
32.7909,1.33205,0.00641404
33.9397,1.33449,0.00651031
34.9031,1.17837,0.00648474
30.6835,1.45048,0.00631793
32.558,1.36675,0.00632358
32.8356,1.40014,0.00633674
32.4198,1.40532,0.00640172
34.0668,1.24789,0.00641452
33.1423,1.42915,0.00643558
33.4206,1.27976,0.00651151
32.6781,1.35494,0.00643806
32.1989,1.43164,0.00635992
33.0763,1.39787,0.00637405
35.5701,1.09973,0.00661645
32.5511,1.37857,0.00634979
33.9253,1.23819,0.00650813
33.4172,1.30894,0.0064671
34.7769,1.24674,0.00652862
33.2723,1.24181,0.00640957
34.5364,1.12235,0.00647488
34.2291,1.25726,0.00643806
32.2154,1.49023,0.00650385
33.9601,1.2624,0.00641169
33.952,1.268,0.0064413
32.3231,1.48547,0.00632574
33.5974,1.29508,0.00652244
33.3965,1.36588,0.00642166
32.9319,1.37049,0.00651442
33.377,1.39877,0.00648793
31.0504,1.50724,0.00646325
33.2024,1.38632,0.00642029
31.7872,1.47279,0.00645554
31.9762,1.522,0.00643003
33.9595,1.34599,0.00649162
34.3137,1.48367,0.00643488
32.9719,1.31354,0.00638822
33.4217,1.29957,0.00634203
33.5625,1.29511,0.00646083
32.3924,1.33335,0.00646356
33.5379,1.23693,0.00637062
31.8441,1.48947,0.00639946
33.0052,1.4121,0.00638241
31.0887,1.57408,0.0063398
31.7134,1.46388,0.00639572
31.6571,1.42086,0.00640411
33.2703,1.3901,0.00635684
33.4704,1.21633,0.00645497
34.7264,1.26327,0.0065169
34.3347,1.29662,0.00646441
31.314,1.47723,0.0063553
33.5142,1.35143,0.00643683
32.4721,1.32396,0.00638686
33.9617,1.27684,0.00654288
33.8955,1.37612,0.00648803
33.0402,1.36398,0.00644266
33.6438,1.27758,0.00650087
32.5284,1.44313,0.00636924
34.7053,1.31718,0.00642297
35.4336,1.27655,0.00655084
34.578,1.28497,0.00641482
33.5427,1.37205,0.00638634
33.6665,1.16557,0.00642293
34.8185,1.12345,0.00648041
31.4847,1.47608,0.00632017
33.3081,1.29387,0.00637164
34.4522,1.37208,0.00649358
32.6601,1.30693,0.00640435
33.7661,1.24909,0.00640903
33.319,1.29487,0.00646803
31.4969,1.41294,0.0063455
34.8438,1.24243,0.00651554
34.3218,1.16445,0.00642544
32.7255,1.51201,0.00640206
34.1369,1.34152,0.00646188
32.7413,1.36119,0.0064131
33.716,1.31122,0.00644566
34.0501,1.36467,0.00647633
32.3952,1.41753,0.00646551
32.9329,1.30626,0.00634794
32.9978,1.34602,0.00640433
33.2418,1.31359,0.00650359
33.3241,1.19451,0.00642602
32.3731,1.4242,0.00638543
32.5522,1.46775,0.00635901
32.0185,1.3464,0.00641965
32.9644,1.32925,0.00641916
33.1354,1.39956,0.00645454
34.5073,1.16254,0.0065099
33.0806,1.41712,0.00640107
33.0879,1.35887,0.00643887
32.7047,1.36245,0.00643559
33.9624,1.41654,0.00640396
34.4597,1.26677,0.00649737
34.1709,1.21722,0.00645225
32.3193,1.30358,0.00645725
33.1103,1.32333,0.00640358
33.4181,1.30402,0.00646353
33.2627,1.32682,0.00649357
33.943,1.20267,0.00643839
33.8884,1.36542,0.00640195
34.2546,1.3123,0.00646022
32.5599,1.41865,0.00637948
32.614,1.36764,0.00632727
31.6967,1.35162,0.00641151
33.3538,1.37306,0.00645724
35.0523,1.1804,0.0065176
33.3708,1.2301,0.00643113
34.1286,1.35258,0.00647394
34.5666,1.35625,0.00645455
32.294,1.47317,0.0064128
33.2689,1.28582,0.00639455
34.7803,1.3034,0.00649728
34.6419,1.25528,0.00646298
33.8067,1.49451,0.00650609
33.4106,1.29529,0.00646733
32.6826,1.45018,0.00637853
33.8605,1.34625,0.00649722
35.0864,1.18467,0.00651635
33.9374,1.26766,0.00649414
34.0167,1.29376,0.00643243
33.4935,1.29313,0.00640974
34.1136,1.31698,0.00641323
33.6367,1.27334,0.00645325
35.0632,1.27461,0.00648622
33.2923,1.444,0.00643471
32.1887,1.36291,0.00641547
32.8907,1.19936,0.00643576
35.3654,1.24128,0.00651501
33.8744,1.35886,0.00645075
32.0595,1.31622,0.00642307
35.106,1.25261,0.00648281
36.0576,1.17158,0.00653989
35.1929,1.27973,0.00648564
32.7716,1.31877,0.00638792
32.91,1.28036,0.00634757
32.4279,1.38439,0.00637074
31.7252,1.50262,0.00638395
33.2991,1.3756,0.00643954
33.855,1.29907,0.00638869
33.2244,1.30935,0.00636937
33.8689,1.28487,0.00649956
33.5828,1.34014,0.00647988
33.4019,1.33549,0.00637471
32.5422,1.38701,0.00643159
33.0436,1.27123,0.00644971
31.9341,1.41521,0.006352
32.7624,1.31684,0.00632507
34.5097,1.20901,0.00645536
33.2102,1.30676,0.0064367
33.3482,1.29554,0.00643186
33.7179,1.29515,0.00644344
33.239,1.32778,0.006431
32.8983,1.33965,0.00643592
32.7348,1.39312,0.00640306
33.9369,1.32895,0.00642593
33.6376,1.45883,0.00643414
34.6098,1.20942,0.00644673
34.8225,1.22995,0.0065134
34.2167,1.23044,0.00638829
32.9976,1.3336,0.00638187
32.5722,1.25797,0.00639937
34.0717,1.34352,0.00642729
31.5894,1.41896,0.00643551
33.9462,1.22476,0.00643163
33.985,1.27707,0.00653034
33.6854,1.37449,0.00641483
33.3266,1.2047,0.0064088
32.0278,1.43017,0.00645745
33.8852,1.37274,0.0064143
33.3913,1.31929,0.00645208
33.7853,1.28824,0.0065009
32.1604,1.52716,0.00633466
34.5911,1.29372,0.00648579
33.0583,1.32652,0.00640134
33.5947,1.21858,0.00642276
33.911,1.36977,0.00645186
34.1861,1.36169,0.00651179
33.2755,1.33642,0.00640331
34.1226,1.32268,0.0065753
31.6399,1.62585,0.00633965
33.2486,1.36325,0.00643566
33.2125,1.33007,0.00651443
34.018,1.34165,0.00648908
34.3056,1.29098,0.00645431
32.6565,1.49188,0.0064609
32.2779,1.41626,0.0063374
32.3264,1.48444,0.00641433
32.923,1.38983,0.00648015
33.3597,1.2544,0.00639806
34.854,1.16408,0.00650015
33.7032,1.28023,0.00642966
32.1549,1.3521,0.00643203
32.2254,1.44403,0.00635169
32.6991,1.47214,0.00645124
33.9553,1.371,0.00643505
34.3851,1.37301,0.00648095
33.3904,1.31994,0.00634752
32.1372,1.38603,0.0063586
32.522,1.2989,0.00636589
32.1412,1.43453,0.00636967
31.7087,1.57664,0.00632806
32.8471,1.41173,0.0064529
34.2603,1.18653,0.00642046
32.6862,1.372,0.0064783
33.2823,1.4057,0.00642778
33.8319,1.36725,0.00654049
33.7912,1.29203,0.00650882
33.4665,1.28554,0.0065696
34.2839,1.4126,0.0064962
32.6474,1.20493,0.00643705
35.2913,1.17224,0.00647821
34.1309,1.26841,0.00636974
32.361,1.49361,0.00638137
34.0611,1.37509,0.0063984
32.512,1.5263,0.00642302
31.9738,1.52238,0.00633648
33.0544,1.33429,0.00649048
34.6755,1.21233,0.0064736
36.3393,1.0913,0.00653468
31.9071,1.3709,0.0063044
35.2088,1.18788,0.00654512
33.9528,1.23719,0.00639777
33.3339,1.40948,0.00639878
