porcentaje_ocio,media_en_cola,tiempo_ejecucion
32.5067,1.41679,0.000796396
33.347,1.19208,0.000885303
32.1884,1.41319,0.000797548
33.2392,1.23294,0.000726545
33.0866,1.44435,0.000792568
33.4434,1.33184,0.00083608
33.656,1.11033,0.000892696
32.8875,1.34147,0.00075036
32.9378,1.25892,0.000743186
32.1024,1.57227,0.000731043
31.4518,1.59639,0.000723869
34.2401,1.21738,0.000716766
34.326,1.32059,0.000714421
32.3978,1.25971,0.000718911
33.3403,1.36232,0.000723379
33.7444,1.36482,0.000746031
34.3128,1.16883,0.000714392
33.8013,1.3691,0.000718469
33.9304,1.33725,0.000719201
33.8488,1.21478,0.000717497
33.9491,1.29845,0.000725923
33.1083,1.36076,0.000741212
33.6789,1.28323,0.000734309
32.4949,1.40751,0.000725613
35.1083,1.13319,0.000783602
33.0231,1.3203,0.000721164
32.9197,1.43361,0.000785425
32.3351,1.46362,0.000861067
32.3176,1.36668,0.000884942
33.0797,1.43133,0.000760899
32.0083,1.35051,0.000726455
33.7331,1.25384,0.000730843
35.0615,1.18834,0.00071875
33.0019,1.38501,0.000721284
33.9372,1.25829,0.000710064
33.4979,1.33842,0.000721896
32.6057,1.48209,0.00074526
32.4745,1.43553,0.00071858
33.3859,1.47703,0.000718049
33.9072,1.30615,0.000718109
32.9393,1.41163,0.000720333
32.8785,1.38164,0.000717698
34.4881,1.19661,0.000725382
33.4395,1.39257,0.000759998
32.3745,1.42758,0.000755218
33.0656,1.42979,0.000720032
34.2451,1.26483,0.000779113
34.0647,1.21975,0.000717908
32.1104,1.49686,0.000786467
32.7421,1.33554,0.000749618
34.3579,1.30599,0.00092101
34.361,1.30557,0.000743326
33.8986,1.27989,0.000736273
34.3539,1.25709,0.000722888
34.8497,1.22766,0.00071335
32.8683,1.5134,0.000758995
34.5521,1.23667,0.000715514
32.5884,1.28587,0.00075049
33.8314,1.27822,0.000712028
32.1934,1.49359,0.00071882
31.3571,1.6527,0.00072932
33.9571,1.17803,0.00070827
33.1851,1.38183,0.000716556
31.9551,1.34119,0.000727286
33.7484,1.33959,0.000725072
33.1102,1.42792,0.000719601
32.3721,1.42158,0.000784443
32.2998,1.35012,0.000732165
32.4458,1.39221,0.00079319
31.3405,1.49001,0.000728578
32.5946,1.30046,0.000773643
33.5704,1.29129,0.000768865
32.8748,1.31043,0.000871517
34.6134,1.21621,0.000817034
33.7073,1.31757,0.000720944
32.6137,1.37055,0.000746221
34.2018,1.26308,0.000718109
35.2612,1.18338,0.000720313
34.3,1.23063,0.000715384
31.3859,1.3921,0.000750179
33.3735,1.22331,0.000718559
33.0316,1.27731,0.000719111
34.0039,1.25494,0.00071349
33.513,1.37497,0.000728218
34.3454,1.48149,0.000717086
33.822,1.28602,0.000721275
33.0762,1.43343,0.000731654
31.8241,1.53977,0.00072947
33.833,1.34971,0.000788351
33.7261,1.19571,0.000743677
33.5554,1.1666,0.000776418
33.7346,1.33654,0.000725213
33.5382,1.29393,0.000795183
32.9259,1.31308,0.000823728
34.2459,1.25828,0.000880655
33.676,1.2807,0.00073457
33.3674,1.39671,0.000749538
32.7108,1.29742,0.000726795
34.0756,1.31047,0.000721234
34.3752,1.24452,0.000718018
33.1207,1.43345,0.000744117
34.4754,1.29427,0.000722096
33.7091,1.24306,0.00071332
32.8855,1.29384,0.000723008
33.6454,1.26437,0.00071858
32.3968,1.32037,0.000720363
33.0597,1.38007,0.000713971
33.812,1.37653,0.000733197
33.5322,1.27749,0.000714743
35.0763,1.08744,0.000726966
34.5714,1.2703,0.000753114
33.3409,1.30326,0.000724932
32.699,1.31457,0.000769856
34.1977,1.34648,0.000727637
33.0204,1.29605,0.000745811
33.5242,1.28529,0.00074539
34.1989,1.18927,0.000732546
33.8508,1.32,0.000726404
33.4731,1.32159,0.000720553
32.4503,1.31532,0.000746892
33.3083,1.26367,0.000728709
34.9597,1.23109,0.00071925
32.6059,1.38025,0.000725122
34.1278,1.20228,0.000719291
33.4534,1.3089,0.000738447
34.3536,1.22061,0.000711246
32.1832,1.33816,0.000726445
33.3763,1.31212,0.000716005
32.9965,1.36323,0.000733568
33.285,1.35675,0.000720894
34.3137,1.14228,0.000719962
34.2641,1.22483,0.000720834
32.9081,1.34387,0.00074053
32.57,1.51735,0.000737856
32.4455,1.3995,0.000752153
34.5287,1.27772,0.000756481
33.5628,1.3172,0.000724481
33.7549,1.34529,0.000760809
31.3765,1.41569,0.000764306
34.1698,1.14787,0.000907354
32.2065,1.31782,0.000811194
31.2132,1.45186,0.000738718
34.9912,1.12987,0.000719051
34.0182,1.53576,0.000776689
31.5113,1.57292,0.000731815
33.4526,1.36584,0.000722677
32.403,1.46949,0.000718459
34.5157,1.22181,0.000715654
31.8233,1.52976,0.000728439
33.6117,1.34646,0.00073497
32.5214,1.3471,0.000719241
34.4265,1.15142,0.000718479
32.8267,1.34151,0.000725462
34.0503,1.1581,0.000717047
