espera_carga,dt_espera_carga,espera_descarga,dt_espera_descarga,procesados,dt_procesados,estancia,dt_estancia,porcent_ocio,dt_porcent_ocio
0.000195,0.001085,0.000124,0.000629,78.977997,9.231425,5.756440,0.425374,83.017632,8.266247
0.000195,0.001085,0.000124,0.000629,78.977997,9.231425,5.756440,0.425374,83.017632,8.266247
0.000184,0.001009,0.000184,0.001192,79.031998,8.670881,5.758947,0.423923,83.277031,8.400152
0.000184,0.001009,0.000184,0.001192,79.031998,8.670881,5.758947,0.423923,83.277031,8.400152
0.000224,0.001144,0.000172,0.000827,79.162003,8.633078,5.779152,0.412858,83.649368,8.869734
0.000224,0.001144,0.000172,0.000827,79.162003,8.633078,5.779152,0.412858,83.649368,8.869734
0.000183,0.001288,0.000173,0.001010,78.767998,8.987284,5.775006,0.412526,82.964790,8.150609
0.000183,0.001288,0.000173,0.001010,78.767998,8.987284,5.775006,0.412526,82.964790,8.150609
0.000180,0.000945,0.000157,0.000909,79.418999,9.131642,5.761235,0.415224,83.287453,8.240777
0.000180,0.000945,0.000157,0.000909,79.418999,9.131642,5.761235,0.415224,83.287453,8.240777
0.000143,0.000687,0.000140,0.000750,78.814003,9.002892,5.771711,0.443902,83.078575,8.108684
0.000143,0.000687,0.000140,0.000750,78.814003,9.002892,5.771711,0.443902,83.078575,8.108684
0.000177,0.000944,0.000177,0.000960,79.022003,8.882139,5.781783,0.426434,83.138817,8.159877
0.000177,0.000944,0.000177,0.000960,79.022003,8.882139,5.781783,0.426434,83.138817,8.159877
0.000154,0.000737,0.000162,0.000861,78.856003,8.918887,5.767358,0.421569,83.156898,8.331201
0.000198,0.001276,0.000161,0.000903,79.758003,8.581530,5.771649,0.415238,82.920876,8.346686
0.000198,0.001276,0.000161,0.000903,79.758003,8.581530,5.771649,0.415238,82.920876,8.346686
0.000205,0.001009,0.000190,0.000920,79.455002,8.629744,5.787339,0.410560,82.403740,8.234580
0.000205,0.001009,0.000190,0.000920,79.455002,8.629744,5.787339,0.410560,82.403740,8.234580
0.000154,0.000853,0.000124,0.000664,79.419998,8.914649,5.757612,0.420036,83.120789,8.258190
0.000154,0.000853,0.000124,0.000664,79.419998,8.914649,5.757612,0.420036,83.120789,8.258190
0.000191,0.001193,0.000152,0.000730,78.992996,9.092616,5.783884,0.412436,83.191597,8.119293
0.000191,0.001193,0.000152,0.000730,78.992996,9.092616,5.783884,0.412436,83.191597,8.119293
0.000153,0.000736,0.000122,0.000608,79.183998,9.004865,5.764947,0.418039,83.244492,7.738080
0.000153,0.000736,0.000122,0.000608,79.183998,9.004865,5.764947,0.418039,83.244492,7.738080
0.000140,0.000810,0.000136,0.000677,78.737000,8.912432,5.756596,0.425075,83.098991,8.329969
0.000178,0.001011,0.000151,0.000804,78.926003,9.040256,5.801293,0.411549,83.200020,8.607763
0.000178,0.001011,0.000151,0.000804,78.926003,9.040256,5.801293,0.411549,83.200020,8.607763
0.000152,0.000996,0.000123,0.000755,79.374001,8.542773,5.761177,0.422824,82.774147,8.026358
0.000152,0.000996,0.000123,0.000755,79.374001,8.542773,5.761177,0.422824,82.774147,8.026358
0.000139,0.000745,0.000134,0.000708,78.750000,9.050824,5.804105,0.419295,83.006126,8.304394
0.000139,0.000745,0.000134,0.000708,78.750000,9.050824,5.804105,0.419295,83.006126,8.304394
0.000220,0.001136,0.000180,0.000900,79.222000,9.194184,5.768741,0.416789,83.280174,8.270484
0.000220,0.001136,0.000180,0.000900,79.222000,9.194184,5.768741,0.416789,83.280174,8.270484
0.000180,0.000992,0.000159,0.000829,78.904999,8.857225,5.761889,0.410398,83.290169,8.531312
0.000180,0.000992,0.000159,0.000829,78.904999,8.857225,5.761889,0.410398,83.290169,8.531312
0.000149,0.000667,0.000137,0.000611,79.050003,8.793340,5.772854,0.404510,82.360077,7.864404
0.000149,0.000667,0.000137,0.000611,79.050003,8.793340,5.772854,0.404510,82.360077,7.864404
0.000156,0.001198,0.000156,0.001027,78.697998,8.623303,5.766279,0.426691,82.906860,8.117814
0.000156,0.001198,0.000156,0.001027,78.697998,8.623303,5.766279,0.426691,82.906860,8.117814
