porcentaje_ocio,media_en_cola,tiempo_ejecucion
33.8513,1.3433,0.0197471
34.3839,1.26779,0.0203406
34.0703,1.31375,0.00898237
32.668,1.35423,0.00638305
32.9662,1.44477,0.00653379
33.7609,1.33751,0.00643818
33.8855,1.25119,0.00653148
32.5072,1.55303,0.00640945
33.2865,1.29689,0.00647613
32.6179,1.35695,0.00656679
33.0735,1.43138,0.00641955
34.4766,1.27512,0.00643583
32.6653,1.56183,0.00659274
32.1185,1.32492,0.00642534
33.4567,1.41506,0.00644144
33.5501,1.31923,0.00636646
33.1997,1.36044,0.00648719
33.1718,1.23376,0.00653126
30.8316,1.54545,0.00637771
32.8867,1.22532,0.00656894
32.089,1.42992,0.00669437
33.2447,1.33954,0.00652858
34.8152,1.35435,0.00684005
32.7944,1.3684,0.00651085
33.5655,1.40463,0.00651683
32.3899,1.41232,0.00649293
32.1494,1.63016,0.00651588
33.8374,1.23302,0.00669516
34.2714,1.24002,0.00768332
34.6428,1.25169,0.00659592
34.8044,1.25492,0.00649135
34.0406,1.30545,0.00651303
32.0168,1.42056,0.00692781
33.7259,1.40924,0.00646957
33.5259,1.30213,0.00648143
32.3586,1.44048,0.00663008
33.9072,1.56138,0.00646688
33.2331,1.28979,0.00648024
32.932,1.26054,0.00646186
33.7207,1.16527,0.00648977
32.7835,1.30453,0.00648949
31.9168,1.54844,0.00641484
32.6245,1.43662,0.00641249
31.4252,1.59639,0.00645823
33.0619,1.37434,0.00643538
33.1543,1.3502,0.00645713
34.578,1.27133,0.00639291
33.1862,1.27111,0.006551
32.1464,1.39393,0.00643996
32.63,1.31186,0.00635023
32.9989,1.348,0.00646338
33.5041,1.33901,0.00650305
34.7398,1.08214,0.00672031
33.8874,1.26968,0.00639069
31.7209,1.49042,0.00637161
32.5975,1.34975,0.00643827
33.0802,1.33457,0.00648145
32.7245,1.33251,0.00642457
33.8631,1.22007,0.00657224
32.6363,1.37033,0.00635948
32.8101,1.43088,0.00656482
34.0616,1.22957,0.00645378
34.5635,1.20043,0.00652266
32.2751,1.27774,0.00656355
33.0458,1.37865,0.0064203
33.914,1.23025,0.00655006
32.5252,1.36366,0.00656824
34.4931,1.29642,0.00657779
34.2009,1.24446,0.00681941
33.7062,1.22865,0.00644375
33.4168,1.2619,0.00654616
32.5577,1.35737,0.00641308
33.0453,1.36361,0.00644198
33.7212,1.31734,0.0065147
34.29,1.15121,0.00646967
33.1261,1.20877,0.00645543
34.564,1.17255,0.00650456
34.2135,1.22262,0.00646044
35.2563,1.20855,0.00665122
33.3927,1.41611,0.00648526
32.4494,1.38719,0.00647738
35.3051,1.30701,0.00649474
33.9494,1.21961,0.0065278
35.4143,1.15372,0.00672184
34.9607,1.26759,0.0065438
31.92,1.48227,0.00637986
33.273,1.38411,0.00655435
33.8942,1.29519,0.00642886
32.6947,1.43438,0.00649889
33.7072,1.30151,0.00638353
34.5412,1.12618,0.00655757
34.1454,1.31324,0.00653387
33.2988,1.23681,0.00644728
32.9624,1.45788,0.00644153
31.9492,1.46413,0.0064335
31.5427,1.49415,0.00640372
33.7448,1.32774,0.0065312
34.7039,1.33781,0.00649911
33.1762,1.25835,0.00644531
33.9573,1.2695,0.00649672
32.5642,1.37445,0.00646493
32.9115,1.2399,0.00655987
33.234,1.38645,0.00638403
33.6445,1.35248,0.00663865
33.7624,1.29253,0.00657717
33.6491,1.25464,0.00643789
33.6647,1.27297,0.00651614
33.5063,1.37592,0.00647898
32.523,1.34562,0.00650362
33.2691,1.27707,0.00666052
33.3652,1.40782,0.00637022
34.2925,1.24792,0.00648231
34.8644,1.33283,0.0065088
31.7923,1.46406,0.00641054
31.5521,1.48714,0.00638978
33.7906,1.21031,0.00649267
32.2571,1.38762,0.00652679
34.5405,1.26179,0.0066009
34.3628,1.28948,0.00795361
34.5515,1.33443,0.00685553
32.1489,1.45254,0.00639625
33.397,1.3527,0.00655493
31.7282,1.51721,0.00633955
33.1887,1.33865,0.00659617
33.0794,1.33596,0.00671844
34.0471,1.21384,0.00652911
33.8754,1.30607,0.00677741
33.78,1.23826,0.00651866
33.5088,1.32583,0.00655314
33.2235,1.3379,0.00674288
33.5697,1.43931,0.00652485
34.2816,1.28937,0.00665475
31.8509,1.33223,0.00654653
32.788,1.47125,0.00648533
32.7776,1.40274,0.00671622
33.7965,1.20109,0.00650708
32.2597,1.48954,0.00659044
33.3063,1.45223,0.0065165
33.6476,1.30032,0.00649728
34.3627,1.28635,0.00667076
32.5416,1.39829,0.00645221
33.711,1.3139,0.00652767
34.5193,1.36333,0.00661787
33.8697,1.20893,0.00656097
32.4211,1.34092,0.00656115
32.7118,1.39099,0.00650322
32.7821,1.36651,0.00682223
33.8879,1.20154,0.00654942
33.3124,1.34295,0.00653089
31.3024,1.43147,0.00659504
33.9185,1.19891,0.00650722
32.403,1.454,0.0066419
32.6745,1.34454,0.00646537
32.4897,1.50822,0.00643975
33.3824,1.37148,0.00671466
32.7406,1.37118,0.00647059
33.9708,1.28451,0.00654037
32.4054,1.42966,0.00643997
33.316,1.29899,0.00650369
32.3687,1.37487,0.00644121
34.8051,1.12935,0.00658873
33.1967,1.24731,0.0065561
33.9259,1.22868,0.0064943
33.4549,1.16166,0.00665752
33.9364,1.19824,0.0066529
33.2896,1.3414,0.00650981
33.8897,1.35301,0.00656922
33.5473,1.45532,0.00655397
35.1376,1.21829,0.00657205
33.7249,1.18453,0.00657148
