porcentaje_ocio,media_en_cola
33.2158,1.26682
32.0065,1.31834
32.3187,1.1823
31.1423,1.38938
33.2666,1.22961
33.0501,1.30817
32.3012,1.28349
31.6165,1.37221
33.1902,1.29995
31.8601,1.45308
33.9881,1.14885
33.7291,1.19906
31.9767,1.36146
32.4757,1.29193
33.0782,1.36158
32.6948,1.35432
32.6036,1.26523
32.6968,1.26169
33.5445,1.2507
33.0052,1.20424
34.6432,1.13693
30.8029,1.42911
32.1289,1.30714
32.4771,1.34527
31.3812,1.52621
32.5958,1.32811
31.8799,1.40957
35.157,1.15414
32.618,1.37357
30.7318,1.40607
32.4388,1.33029
33.8624,1.13974
32.9874,1.25984
31.3011,1.37528
33.1079,1.22716
32.7029,1.30612
32.8234,1.30658
34.0575,1.17874
33.0797,1.36853
34.4383,1.10078
33.0475,1.20263
32.8363,1.26106
31.8447,1.37058
32.691,1.21565
30.7415,1.59371
32.3937,1.25192
30.7088,1.58441
33.7441,1.21148
32.0706,1.40741
31.1262,1.48668
33.344,1.15551
32.0275,1.363
33.7318,1.31847
33.7042,1.19625
33.7056,1.14723
32.0459,1.29796
32.8961,1.29244
33.4395,1.2086
32.9129,1.28964
33.9892,1.28895
30.4155,1.53448
31.6237,1.29382
32.4021,1.40741
32.2613,1.30139
33.9052,1.13971
32.8073,1.23646
32.6185,1.20386
31.0199,1.51327
34.6988,1.18895
33.1123,1.10831
32.3794,1.35833
31.5379,1.28538
31.6105,1.24334
32.936,1.33037
33.6494,1.1987
33.2494,1.23718
32.419,1.35086
33.4555,1.26969
32.4387,1.21665
33.0206,1.27119
33.0752,1.32889
33.9447,1.11776
32.7377,1.25634
34.3491,1.17571
31.9169,1.4475
31.6371,1.40501
32.517,1.25981
32.2752,1.28697
33.6975,1.13088
32.7898,1.30101
32.1603,1.209
32.9401,1.34826
32.0486,1.30857
32.4879,1.33179
33.7119,1.17843
31.9862,1.39126
32.0392,1.27779
32.9201,1.27783
32.6779,1.24533
33.0752,1.39134
32.2539,1.25689
32.8241,1.31613
32.1691,1.33951
32.4941,1.26677
32.7711,1.22653
32.6596,1.19469
31.2185,1.38367
32.8987,1.26006
32.3094,1.30474
33.357,1.25966
33.5611,1.21308
31.5897,1.37087
31.3026,1.44684
32.56,1.33047
31.3481,1.34137
32.8129,1.3145
32.7218,1.24411
33.6493,1.24645
32.5975,1.31839
32.9156,1.26584
33.0614,1.28031
31.4321,1.34935
33.5798,1.25278
33.025,1.23766
32.6903,1.22297
32.9017,1.27266
33.4989,1.15056
34.2513,1.18075
32.2181,1.37249
34.4456,1.09615
31.4126,1.3134
32.4391,1.26192
31.3309,1.40813
33.9563,1.16042
33.7568,1.10912
30.4698,1.35556
32.9121,1.1764
31.4357,1.39329
32.2331,1.25106
32.2383,1.25079
33.0233,1.245
31.5424,1.31145
32.5947,1.25184
33.3082,1.1404
32.4316,1.35239
33.087,1.27977
33.3299,1.16498
33.1576,1.25356
32.3358,1.4105
32.5213,1.34242
32.5813,1.36343
32.825,1.25504
34.7316,1.22575
33.2633,1.19163
33.6802,1.2137
31.2392,1.32641
34.161,1.1795
33.3969,1.22738
31.5684,1.43349
32.8971,1.22741
33.2758,1.28175
32.1443,1.36797
32.5431,1.34144
32.4818,1.39714
33.436,1.23118
34.5782,1.19146
32.6619,1.17377
31.5076,1.33323
33.2855,1.22292
31.9602,1.3779
32.5451,1.30707
31.0697,1.49754
32.5226,1.35695
31.9348,1.32297
32.7333,1.25861
32.8333,1.24467
34.0395,1.09749
33.1896,1.25148
31.5975,1.37891
30.9314,1.53435
32.4847,1.29858
33.2283,1.29197
30.2078,1.45029
33.0267,1.26118
33.7574,1.13807
32.5364,1.45667
32.3995,1.33078
33.4948,1.28257
31.3905,1.31554
31.7735,1.39271
32.1298,1.46858
33.5137,1.13475
32.0539,1.40603
32.8279,1.28795
32.1206,1.27135
32.974,1.30463
31.1869,1.41479
32.018,1.32084
33.1027,1.24042
32.311,1.38356
32.916,1.36257
33.8647,1.16317
33.8995,1.21908
34.4977,1.14629
32.2178,1.25123
31.6295,1.28593
30.5607,1.54058
33.9152,1.24239
34.4083,1.15903
33.0456,1.29435
33.5143,1.21375
32.0161,1.48687
33.8207,1.21961
32.7911,1.28922
32.9319,1.25857
33.6426,1.11859
33.7007,1.15281
32.0723,1.30508
33.562,1.41855
32.481,1.30333
31.1996,1.47437
33.4156,1.18712
32.2638,1.29512
33.4709,1.25767
30.9698,1.45748
32.7784,1.33672
32.4977,1.33163
33.9691,1.15518
30.8618,1.46823
31.7381,1.2453
32.5042,1.2376
30.6481,1.3949
33.7662,1.28896
31.8029,1.36452
33.1945,1.29231
32.2242,1.34105
30.5391,1.42598
31.4341,1.41394
32.8672,1.24408
33.1905,1.38532
34.0065,1.18488
32.6471,1.26709
32.7767,1.29514
32.3491,1.42207
32.6511,1.34461
33.7135,1.18673
33.5339,1.16315
33.542,1.37351
31.8282,1.16068
30.8207,1.39634
