porcentaje_ocio,media_en_cola
33.6126,1.32254
34.2095,1.16488
34.206,1.20564
32.9372,1.35668
32.1527,1.34742
32.4483,1.3784
31.6453,1.31008
34.5837,1.14874
32.62,1.46324
34.538,1.16884
33.4155,1.30549
31.8574,1.23363
34.048,1.17753
32.6773,1.29902
33.7859,1.19571
34.3678,1.20874
33.1934,1.1947
31.2745,1.42252
32.7997,1.22039
32.8403,1.23609
33.5657,1.23919
31.4712,1.31175
31.6908,1.40998
32.1614,1.4531
31.5599,1.46435
33.6902,1.27917
31.7222,1.42067
32.2392,1.39324
32.4687,1.19909
32.2059,1.27627
32.0487,1.50265
34.2778,1.25635
32.4481,1.23976
33.8687,1.25212
34.0585,1.34652
33.0119,1.29097
32.6731,1.19294
32.9352,1.42237
33.5127,1.33208
32.0545,1.36467
32.0031,1.59554
31.8014,1.46
32.4446,1.35339
32.9908,1.33496
32.917,1.24558
33.3073,1.31208
32.4311,1.37271
34.5148,1.25224
32.8093,1.20557
32.1601,1.35207
30.9858,1.45018
33.6752,1.2516
34.1378,1.23912
32.2433,1.44896
32.8082,1.37646
32.9566,1.37823
32.4686,1.30877
32.0368,1.35544
33.5841,1.34564
33.2405,1.26932
33.5143,1.23525
33.6675,1.1711
33.1618,1.30342
32.4606,1.44006
34.8728,1.33238
32.9784,1.31687
34.0639,1.19568
31.8356,1.37607
32.6392,1.34894
32.6615,1.35647
32.3204,1.26131
31.124,1.68798
32.1895,1.43162
33.051,1.36099
32.5695,1.31489
32.6857,1.37543
30.7022,1.48756
33.5602,1.25097
32.7624,1.27208
33.4696,1.28592
32.0539,1.32329
33.337,1.31331
32.993,1.32868
32.1758,1.35199
33.7622,1.1787
31.1954,1.50844
32.8335,1.2443
31.8115,1.4308
31.9864,1.35543
33.1112,1.45721
33.7111,1.26114
32.2659,1.37412
33.9759,1.1935
31.1132,1.46001
32.5335,1.30833
33.2728,1.30319
32.7467,1.42313
32.5893,1.30696
32.9603,1.28095
33.4362,1.33717
32.0576,1.52993
33.6117,1.29208
31.2312,1.35236
34.0627,1.19065
34.3225,1.27
32.0492,1.39693
32.8416,1.39575
32.2244,1.32422
33.3951,1.276
33.2145,1.31026
32.4023,1.29825
32.5045,1.31534
32.7858,1.42858
33.6964,1.25247
33.7686,1.3023
33.2326,1.31371
34.5037,1.18631
32.895,1.33707
33.1849,1.29121
33.0396,1.30483
32.1031,1.39891
32.9595,1.30946
34.7528,1.08004
32.1908,1.37663
32.5155,1.29133
