porcentaje_ocio,media_en_cola
34.3455,1.30893
34.4311,1.27107
33.9791,1.30018
33.4587,1.36381
33.4752,1.41009
34.1973,1.38494
34.1086,1.37076
33.3879,1.34516
34.6541,1.28051
34.0703,1.33951
33.9521,1.40352
33.2645,1.30191
33.4235,1.34505
35.4806,1.18974
34.6149,1.38202
34.1916,1.3003
33.4236,1.42253
34.519,1.19019
34.329,1.25538
33.1619,1.44052
32.3878,1.52162
32.7137,1.44287
34.0354,1.22489
33.082,1.40326
33.3062,1.3672
32.2704,1.4438
33.3459,1.32577
31.0721,1.57792
33.7882,1.21504
33.3876,1.30632
33.5782,1.4238
33.5038,1.38344
34.5998,1.18599
34.0367,1.26474
33.9295,1.33435
33.8004,1.36382
32.9265,1.3263
33.8466,1.31609
34.9441,1.186
32.9779,1.34033
33.8589,1.36617
34.7058,1.32735
33.0832,1.39645
32.6172,1.31355
32.2805,1.52892
32.958,1.49199
31.9517,1.59034
33.9792,1.31343
34.9203,1.26297
33.4589,1.27894
33.4389,1.39868
33.9191,1.3365
32.2823,1.47895
32.2894,1.34637
32.4951,1.39086
33.0392,1.48949
33.2389,1.43185
35.3288,1.25424
32.6941,1.40711
35.8035,1.18418
33.2674,1.41686
32.1256,1.4975
32.9013,1.39495
31.8308,1.49632
34.0554,1.34537
33.2233,1.43011
32.998,1.35832
34.6878,1.18982
32.7458,1.4118
32.0454,1.52014
33.2416,1.46558
31.9502,1.46962
33.9746,1.30982
32.454,1.3419
32.474,1.49922
32.7138,1.46143
33.1402,1.32711
34.1559,1.4
34.5885,1.2135
35.7842,1.20692
33.4916,1.48237
34.5505,1.20271
33.8009,1.26513
31.5446,1.46004
32.3155,1.48425
34.1228,1.22208
33.8358,1.31565
34.1497,1.23019
33.8976,1.2679
34.8889,1.29481
33.6924,1.34651
34.0499,1.22144
32.6294,1.29414
32.7381,1.44682
34.0042,1.3211
33.7077,1.23769
33.4979,1.33949
34.2548,1.35521
33.0813,1.56252
32.8003,1.35852
33.0991,1.32682
33.2203,1.41441
32.8271,1.54097
34.3424,1.38091
33.4211,1.37383
33.039,1.46009
33.7314,1.32705
33.9532,1.28054
34.4495,1.26926
35.1835,1.19586
33.8104,1.37895
33.2395,1.40099
33.5042,1.26605
32.8926,1.38425
31.4792,1.45968
32.3419,1.44279
33.3512,1.3741
34.532,1.28221
32.785,1.46117
33.129,1.34915
34.494,1.20592
33.3637,1.42948
32.0132,1.44881
34.1805,1.44032
33.1849,1.66529
34.0387,1.31712
33.4377,1.45068
33.7503,1.31538
33.4316,1.36838
34.3633,1.22337
32.6936,1.38371
32.9421,1.28698
34.2002,1.21682
32.3312,1.41882
33.3229,1.40924
34.5257,1.29237
35.0915,1.13664
33.9807,1.37255
33.6589,1.4944
32.7352,1.45095
33.7797,1.24884
35.5296,1.15516
35.744,1.22274
33.8031,1.23555
31.642,1.46963
32.6539,1.31686
32.3693,1.4457
35.6855,1.14385
32.2226,1.50955
31.3802,1.51071
31.7913,1.60315
33.4912,1.21128
34.0792,1.31029
33.76,1.19421
35.0176,1.17279
32.7388,1.41401
34.0218,1.2666
34.83,1.23148
32.9676,1.56212
33.9541,1.26993
32.8685,1.36069
33.4313,1.24596
32.7644,1.33155
35.2415,1.18779
34.3709,1.30344
34.3935,1.21445
31.9967,1.49737
33.4029,1.34923
32.8907,1.47095
32.2494,1.51651
34.3973,1.21816
33.3489,1.29052
32.8316,1.29703
35.0433,1.19286
34.3183,1.34301
32.7943,1.52252
32.0873,1.59364
34.9202,1.2353
31.8349,1.4666
33.2311,1.32228
33.2253,1.42123
32.4327,1.36926
33.6963,1.32547
31.8817,1.41976
34.6641,1.20674
33.9615,1.3334
33.5562,1.29072
33.6158,1.3254
32.5785,1.60077
35.2801,1.22056
32.6095,1.54469
32.7144,1.38594
34.7738,1.29121
33.373,1.27862
33.4016,1.39659
32.7002,1.53464
33.2966,1.33441
32.2067,1.43064
34.2461,1.27488
34.9801,1.0969
33.7022,1.32693
33.73,1.45064
34.0749,1.42047
33.6129,1.42809
33.3763,1.25949
34.2525,1.25876
33.173,1.49135
31.5778,1.50631
33.3674,1.42073
33.3563,1.25773
34.5762,1.21326
34.313,1.30147
34.9916,1.23051
33.3821,1.38211
34.1678,1.35484
32.0634,1.37453
33.542,1.35325
33.8177,1.40875
34.9589,1.20469
33.4583,1.4275
34.1873,1.36661
35.0733,1.14041
31.8214,1.59607
32.4213,1.56369
33.9828,1.26089
33.4577,1.42582
33.4598,1.4171
33.4066,1.34079
35.0642,1.31972
33.0264,1.39212
35.1042,1.12629
33.1265,1.33328
32.8213,1.41152
34.5523,1.29935
33.5187,1.36182
33.1767,1.36015
32.9928,1.434
33.4815,1.33886
34.5406,1.21118
33.4478,1.377
32.5531,1.50401
34.6045,1.38797
34.0028,1.42585
32.446,1.39932
34.0144,1.33456
33.2438,1.40607
33.0922,1.42992
34.5236,1.24563
33.0588,1.3794
33.3555,1.32069
33.5093,1.33768
34.3286,1.46249
32.7986,1.46513
34.3675,1.20025
33.507,1.29056
31.8088,1.45274
32.4175,1.42801
32.0976,1.36659
33.6123,1.43601
34.1694,1.32486
32.884,1.36877
33.5114,1.37276
34.196,1.25266
33.5459,1.32096
34.5542,1.21953
34.9182,1.23274
34.346,1.23141
33.2784,1.39108
33.5155,1.35477
33.4158,1.3849
33.8796,1.30029
33.5875,1.3061
34.2038,1.31654
33.2277,1.29016
34.6102,1.31379
32.9929,1.27136
33.2058,1.34998
33.4275,1.38236
33.6413,1.43706
33.3633,1.44468
34.0485,1.28258
35.3777,1.18395
32.3043,1.49712
33.6978,1.23963
33.7379,1.37005
32.1651,1.52118
33.159,1.3218
34.2614,1.36773
32.9317,1.68378
33.3712,1.38219
31.6215,1.5729
32.4224,1.37021
32.7651,1.39015
32.5072,1.49453
35.1607,1.13235
34.162,1.43771
34.6475,1.33185
33.9919,1.33227
34.9354,1.30263
33.5706,1.33693
33.5163,1.34455
33.1009,1.30507
33.6325,1.35697
32.474,1.34896
32.9324,1.44145
33.5867,1.27558
34.1452,1.35093
33.7434,1.33185
34.5055,1.29309
33.6304,1.32915
35.3373,1.14737
33.6008,1.50184
32.1173,1.55718
33.6757,1.31355
34.6195,1.28035
34.0741,1.2873
33.7372,1.33585
32.4589,1.51191
35.1675,1.12939
33.0592,1.31535
34.0314,1.35643
