porcentaje_ocio,media_en_cola
34.7934,1.20226
34.9052,1.26856
32.6327,1.33153
34.0086,1.55534
33.843,1.23389
33.4706,1.39058
33.3549,1.43615
34.7535,1.1762
34.4514,1.21091
33.41,1.28929
32.8563,1.41974
33.4989,1.26787
33.1208,1.4097
34.2331,1.26995
35.2513,1.19375
33.6357,1.29098
33.4227,1.31513
34.4128,1.30716
32.934,1.33031
34.0208,1.18325
31.8171,1.46329
33.6076,1.22941
32.4086,1.42686
34.8046,1.27491
33.0894,1.48421
34.3609,1.28261
33.3628,1.32672
34.2261,1.23889
33.4643,1.26134
33.2344,1.28922
32.8976,1.37048
34.0166,1.31167
34.2989,1.27559
33.3181,1.25022
33.3091,1.36895
33.5122,1.36334
33.9205,1.28951
33.5875,1.20195
33.1206,1.25406
34.8197,1.32672
32.6526,1.43815
34.4708,1.28857
32.2268,1.46439
34.3019,1.1586
35.2231,1.25293
32.2105,1.44222
33.361,1.39281
32.9841,1.39562
34.085,1.40273
33.1904,1.49098
32.451,1.32924
34.909,1.2106
32.5517,1.30709
32.896,1.30714
33.7561,1.35543
31.449,1.35132
32.0291,1.35605
33.1675,1.48712
33.9278,1.31092
33.0406,1.38906
33.1932,1.26415
32.937,1.43554
33.2033,1.4271
32.0681,1.3183
33.0997,1.29371
33.9946,1.2201
30.8702,1.5234
32.7956,1.39938
32.4331,1.44486
33.1638,1.36139
34.5801,1.23823
34.7567,1.26389
32.9114,1.50743
34.4746,1.36104
33.059,1.25836
33.2217,1.41619
32.3022,1.43932
32.0911,1.47919
33.5573,1.16043
31.9108,1.37101
32.5811,1.34713
34.1917,1.24654
31.8281,1.60405
33.2797,1.33479
32.924,1.33374
34.3075,1.23061
32.9359,1.36732
32.504,1.51848
35.7372,1.24139
34.2465,1.38147
32.2143,1.44775
33.1997,1.36411
32.9521,1.32774
31.9668,1.5766
33.2416,1.38179
33.6394,1.25039
33.1169,1.32423
32.9271,1.39245
34.2703,1.30934
33.797,1.35611
35.1568,1.21546
33.9221,1.37065
32.2568,1.40693
32.2163,1.32696
33.5518,1.31458
31.9425,1.40538
32.1848,1.34714
33.0415,1.41916
33.7028,1.32152
34.6653,1.25647
32.091,1.52615
32.3601,1.43727
35.3914,1.19893
34.1793,1.19188
32.3374,1.37102
33.0771,1.38462
33.923,1.24993
35.0095,1.25789
33.8509,1.37397
35.0309,1.11696
34.1576,1.33981
32.4434,1.35989
34.9181,1.1956
32.9926,1.353
33.045,1.29566
34.2877,1.23373
32.0357,1.47856
