t,I,S,R
0,400,400,200
0.1,442.532,337.37,220.098
0.2,478.191,279.617,242.192
0.3,505.613,228.471,265.916
0.4,524.404,184.749,290.847
0.5,534.993,148.451,316.556
0.6,538.359,118.999,342.642
0.7,535.736,95.5041,368.76
0.8,528.393,76.9808,394.626
0.9,517.492,62.4871,420.021
1,504.024,51.1955,444.78
1.1,488.796,42.417,468.787
1.2,472.438,35.5969,491.965
1.3,455.437,30.2984,514.265
1.4,438.156,26.1825,535.662
1.5,420.866,22.9877,556.147
1.6,403.762,20.5134,575.724
1.7,386.987,18.6058,594.408
1.8,370.637,17.1468,612.216
1.9,354.78,16.0453,629.175
2,339.459,15.2311,645.31
2.1,324.699,14.6495,660.651
2.2,310.514,14.258,675.228
2.3,296.906,14.0232,689.07
2.4,283.872,13.9188,702.21
2.5,271.4,13.9239,714.676
2.6,259.48,14.0218,726.498
2.7,248.096,14.1992,737.705
2.8,237.23,14.4453,748.325
2.9,226.864,14.7514,758.385
3,216.979,15.1103,767.91
3.1,207.557,15.5162,776.927
3.2,198.578,15.9643,785.458
3.3,190.022,16.4506,793.527
3.4,181.872,16.9717,801.156
3.5,174.11,17.5249,808.365
3.6,166.717,18.1076,815.176
3.7,159.676,18.7181,821.606
3.8,152.971,19.3544,827.675
3.9,146.586,20.0151,833.399
4,140.506,20.6989,838.795
4.1,134.716,21.4047,843.879
4.2,129.202,22.1314,848.666
4.3,123.951,22.8782,853.171
4.4,118.95,23.6444,857.406
4.5,114.186,24.429,861.385
4.6,109.649,25.2316,865.12
4.7,105.326,26.0514,868.622
4.8,101.208,26.888,871.904
4.9,97.2847,27.7408,874.974
5,93.5458,28.6093,877.845
5.1,89.9827,29.4931,880.524
5.2,86.5865,30.3917,883.022
5.3,83.3492,31.3047,885.346
5.4,80.2629,32.2316,887.505
5.5,77.3202,33.1722,889.508
5.6,74.5141,34.1259,891.36
5.7,71.8377,35.0925,893.07
5.8,69.2849,36.0716,894.644
5.9,66.8495,37.0627,896.088
6,64.5258,38.0657,897.409
6.1,62.3084,39.08,898.612
6.2,60.1921,40.1054,899.702
6.3,58.172,41.1416,900.686
6.4,56.2435,42.1881,901.568
6.5,54.4021,43.2447,902.353
6.6,52.6436,44.3111,903.045
6.7,50.9642,45.3869,903.649
6.8,49.3599,46.4717,904.168
6.9,47.8272,47.5654,904.607
7,46.3628,48.6675,904.97
7.1,44.9634,49.7778,905.259
7.2,43.6259,50.8959,905.478
7.3,42.3474,52.0216,905.631
7.4,41.1253,53.1544,905.72
7.5,39.9567,54.2942,905.749
7.6,38.8394,55.4406,905.72
7.7,37.7709,56.5934,905.636
7.8,36.749,57.7521,905.499
7.9,35.7716,58.9166,905.312
8,34.8366,60.0864,905.077
8.1,33.9421,61.2615,904.796
8.2,33.0864,62.4414,904.472
8.3,32.2677,63.6258,904.107
8.4,31.4843,64.8145,903.701
8.5,30.7348,66.0072,903.258
8.6,30.0176,67.2037,902.779
8.7,29.3314,68.4035,902.265
8.8,28.6748,69.6065,901.719
8.9,28.0465,70.8124,901.141
9,27.4453,72.021,900.534
9.1,26.8702,73.2318,899.898
9.2,26.32,74.4448,899.235
9.3,25.7938,75.6595,898.547
9.4,25.2904,76.8758,897.834
9.5,24.8091,78.0934,897.098
9.6,24.3489,79.3119,896.339
9.7,23.909,80.5313,895.56
9.8,23.4886,81.7511,894.76
9.9,23.0869,82.9712,893.942
10,22.7033,84.1912,893.105
10.1,22.3371,85.411,892.252
10.2,21.9875,86.6303,891.382
10.3,21.6541,87.8488,890.497
10.4,21.3362,89.0662,889.598
10.5,21.0333,90.2824,888.684
10.6,20.7448,91.4971,887.758
10.7,20.4703,92.7099,886.82
10.8,20.2093,93.9207,885.87
10.9,19.9613,95.1293,884.909
11,19.726,96.3353,883.939
11.1,19.5029,97.5385,882.959
11.2,19.2917,98.7387,881.97
11.3,19.0919,99.9356,880.972
11.4,18.9033,101.129,879.968
11.5,18.7255,102.319,878.956
11.6,18.5583,103.504,877.938
11.7,18.4013,104.686,876.913
11.8,18.2543,105.862,875.883
11.9,18.117,107.034,874.849
12,17.9892,108.201,873.81
12.1,17.8706,109.363,872.767
12.2,17.7611,110.519,871.72
12.3,17.6605,111.669,870.67
12.4,17.5685,112.813,869.618
12.5,17.485,113.951,868.564
12.6,17.4098,115.082,867.508
12.7,17.3428,116.207,866.45
12.8,17.2839,117.324,865.392
12.9,17.2328,118.434,864.333
13,17.1895,119.536,863.274
13.1,17.1539,120.63,862.216
13.2,17.1258,121.716,861.158
13.3,17.1052,122.794,860.101
13.4,17.092,123.862,859.046
13.5,17.0861,124.922,857.992
13.6,17.0874,125.972,856.94
13.7,17.0958,127.013,855.891
13.8,17.1114,128.044,854.845
13.9,17.134,129.064,853.802
14,17.1637,130.074,852.763
14.1,17.2003,131.073,851.727
14.2,17.2438,132.061,850.696
14.3,17.2943,133.037,849.669
14.4,17.3516,134.002,848.647
14.5,17.4159,134.954,847.63
14.6,17.4869,135.894,846.619
14.7,17.5649,136.822,845.614
14.8,17.6497,137.736,844.614
14.9,17.7414,138.637,843.622
15,17.8399,139.524,842.636
15.1,17.9453,140.397,841.658
15.2,18.0576,141.256,840.687
15.3,18.1767,142.099,839.724
15.4,18.3028,142.928,838.769
15.5,18.4358,143.742,837.823
15.6,18.5758,144.539,836.885
15.7,18.7228,145.321,835.957
15.8,18.8768,146.085,835.038
15.9,19.0378,146.834,834.129
16,19.2058,147.564,833.23
16.1,19.381,148.278,832.341
16.2,19.5633,148.973,831.464
16.3,19.7527,149.65,830.597
16.4,19.9493,150.308,829.742
16.5,20.1531,150.948,828.899
16.6,20.3641,151.568,828.068
16.7,20.5823,152.168,827.25
16.8,20.8079,152.748,826.444
16.9,21.0407,153.308,825.651
17,21.2808,153.847,824.872
17.1,21.5282,154.365,824.107
17.2,21.7829,154.861,823.356
17.3,22.045,155.336,822.619
17.4,22.3143,155.788,821.898
17.5,22.591,156.218,821.191
17.6,22.8749,156.625,820.5
17.7,23.1662,157.009,819.825
17.8,23.4646,157.37,819.165
17.9,23.7703,157.707,818.523
18,24.0831,158.02,817.897
18.1,24.4029,158.309,817.288
18.2,24.7299,158.574,816.697
18.3,25.0637,158.813,816.123
18.4,25.4045,159.028,815.567
18.5,25.7519,159.218,815.03
18.6,26.1061,159.382,814.512
18.7,26.4668,159.521,814.012
18.8,26.8339,159.635,813.531
18.9,27.2072,159.722,813.07
19,27.5866,159.784,812.629
19.1,27.9719,159.82,812.208
19.2,28.3629,159.83,811.807
19.3,28.7594,159.814,811.427
19.4,29.1612,159.772,811.067
19.5,29.5681,159.704,810.728
19.6,29.9797,159.61,810.411
19.7,30.3959,159.49,810.114
19.8,30.8162,159.344,809.84
