t,I,S,R
0,1,999,0
0.1,10.9353,988.965,0.100072
0.2,114.77,884.053,1.1763
0.3,803.88,185.047,11.0729
0.4,1029.92,-76.3701,46.4481
0.5,884.662,32.3154,83.0225
0.6,896.463,-11.652,115.189
0.7,847.743,6.76097,145.497
0.8,826.933,-0.0673409,173.134
0.9,798.131,3.16265,198.706
1,775.346,2.44192,222.212
1.1,752.892,3.22949,243.879
1.2,732.737,3.43731,263.826
1.3,713.956,3.8454,282.198
1.4,696.716,4.16751,299.116
1.5,680.8,4.50495,314.695
1.6,666.139,4.82174,329.039
1.7,652.623,5.12952,342.247
1.8,640.168,5.42401,354.408
1.9,628.689,5.70629,365.604
2,618.112,5.97587,375.912
2.1,608.366,6.23283,385.401
2.2,599.386,6.47722,394.137
2.3,591.113,6.70917,402.178
2.4,583.491,6.92888,409.58
2.5,576.469,7.13661,416.394
2.6,570.002,7.33266,422.665
2.7,564.045,7.51737,428.438
2.8,558.558,7.69113,433.75
2.9,553.506,7.85433,438.64
3,548.852,8.0074,443.14
3.1,544.568,8.15077,447.282
3.2,540.622,8.2849,451.093
3.3,536.989,8.41022,454.6
3.4,533.645,8.52718,457.828
3.5,530.566,8.63624,460.798
3.6,527.731,8.73782,463.531
3.7,525.121,8.83235,466.046
3.8,522.719,8.92025,468.361
3.9,520.508,9.00192,470.49
4,518.473,9.07774,472.45
4.1,516.599,9.14808,474.253
4.2,514.875,9.2133,475.911
4.3,513.288,9.27374,477.438
4.4,511.828,9.32971,478.842
4.5,510.484,9.38152,480.134
4.6,509.247,9.42946,481.323
4.7,508.109,9.47379,482.417
4.8,507.061,9.51477,483.424
4.9,506.098,9.55265,484.35
5,505.211,9.58763,485.202
5.1,504.395,9.61994,485.986
5.2,503.644,9.64977,486.707
5.3,502.953,9.67729,487.37
5.4,502.317,9.7027,487.981
5.5,501.732,9.72613,488.542
5.6,501.193,9.74774,489.059
5.7,500.698,9.76767,489.534
5.8,500.242,9.78604,489.972
5.9,499.823,9.80298,490.374
6,499.437,9.81859,490.744
6.1,499.082,9.83297,491.085
6.2,498.756,9.84623,491.398
6.3,498.455,9.85844,491.686
6.4,498.179,9.86968,491.951
6.5,497.925,9.88004,492.195
6.6,497.691,9.88958,492.42
6.7,497.475,9.89837,492.626
6.8,497.277,9.90646,492.816
6.9,497.095,9.91391,492.991
7,496.928,9.92077,493.152
7.1,496.773,9.92709,493.3
7.2,496.631,9.9329,493.436
7.3,496.501,9.93825,493.561
7.4,496.381,9.94318,493.676
7.5,496.27,9.94771,493.782
7.6,496.169,9.95189,493.879
7.7,496.075,9.95573,493.969
7.8,495.989,9.95926,494.052
