t,I,S,R
0,1,999,0
0.05,1.0437,998.95,0.00625
0.1,1.08931,998.898,0.0127714
0.15,1.1369,998.844,0.019576
0.2,1.18658,998.787,0.0266762
0.25,1.23842,998.727,0.0340849
0.3,1.29252,998.666,0.0418156
0.35,1.34898,998.601,0.0498822
0.4,1.40791,998.534,0.0582995
0.45,1.4694,998.464,0.0670827
0.5,1.53357,998.39,0.0762478
0.55,1.60054,998.314,0.0858115
0.6,1.67043,998.234,0.095791
0.65,1.74337,998.15,0.106205
0.7,1.81948,998.063,0.117071
0.75,1.8989,997.973,0.12841
0.8,1.98179,997.878,0.140243
0.85,2.06828,997.779,0.15259
0.9,2.15854,997.676,0.165474
0.95,2.25272,997.568,0.178919
1,2.351,997.456,0.192949
1.05,2.45356,997.339,0.207589
1.1,2.56058,997.217,0.222866
1.15,2.67225,997.089,0.238808
1.2,2.78877,996.956,0.255443
1.25,2.91035,996.817,0.272802
1.3,3.03722,996.672,0.290916
1.35,3.16959,996.521,0.309818
1.4,3.30771,996.363,0.329542
1.45,3.45182,996.198,0.350124
1.5,3.60218,996.026,0.3716
1.55,3.75906,995.847,0.394011
1.6,3.92274,995.66,0.417395
1.65,4.09351,995.465,0.441796
1.7,4.27167,995.261,0.467258
1.75,4.45754,995.049,0.493826
1.8,4.65146,994.827,0.521549
1.85,4.85376,994.596,0.550476
1.9,5.0648,994.355,0.580659
1.95,5.28495,994.103,0.612152
2,5.51461,993.84,0.645013
2.05,5.75418,993.567,0.6793
2.1,6.00407,993.281,0.715075
2.15,6.26473,992.983,0.752402
2.2,6.53662,992.672,0.791348
2.25,6.8202,992.348,0.831982
2.3,7.11597,992.01,0.874377
2.35,7.42445,991.657,0.918609
2.4,7.74618,991.289,0.964757
2.45,8.0817,990.905,1.0129
2.5,8.4316,990.505,1.06313
2.55,8.79648,990.088,1.11553
2.6,9.17696,989.653,1.1702
2.65,9.57371,989.199,1.22723
2.7,9.98739,988.726,1.28673
2.75,10.4187,988.233,1.34879
2.8,10.8684,987.718,1.41353
2.85,11.3372,987.182,1.48107
2.9,11.8259,986.623,1.55151
2.95,12.3354,986.04,1.625
3,12.8665,985.432,1.70164
3.05,13.42,984.798,1.78158
3.1,13.9969,984.138,1.86496
3.15,14.5982,983.45,1.95193
3.2,15.2248,982.733,2.04262
3.25,15.8777,981.985,2.13721
3.3,16.5581,981.206,2.23585
3.35,17.267,980.394,2.33872
3.4,18.0055,979.549,2.44599
3.45,18.7748,978.667,2.55784
3.5,19.5762,977.749,2.67448
3.55,20.4108,976.793,2.79608
3.6,21.2801,975.797,2.92288
3.65,22.1854,974.76,3.05506
3.7,23.128,973.679,3.19287
3.75,24.1094,972.554,3.33654
3.8,25.1311,971.383,3.48629
3.85,26.1946,970.163,3.6424
3.9,27.3016,968.893,3.8051
3.95,28.4535,967.572,3.97468
4,29.6522,966.196,4.15141
4.05,30.8994,964.765,4.33558
4.1,32.1968,963.276,4.5275
4.15,33.5463,961.726,4.72747
4.2,34.9498,960.114,4.93582
4.25,36.4091,958.438,5.15289
4.3,37.9264,956.695,5.37902
4.35,39.5035,954.882,5.61456
4.4,41.1427,952.997,5.8599
4.45,42.846,951.039,6.11541
4.5,44.6156,949.003,6.3815
4.55,46.4538,946.888,6.65858
4.6,48.3628,944.69,6.94706
4.65,50.3449,942.408,7.2474
4.7,52.4025,940.037,7.56004
4.75,54.538,937.577,7.88546
4.8,56.7538,935.022,8.22413
4.85,59.0524,932.371,8.57656
4.9,61.4363,929.62,8.94325
4.95,63.9079,926.767,9.32475
5,66.4699,923.809,9.72158
5.05,69.1247,920.741,10.1343
5.1,71.875,917.561,10.5635
5.15,74.7233,914.267,11.0098
5.2,77.6721,910.854,11.4738
5.25,80.724,907.32,11.956
5.3,83.8816,903.661,12.4572
5.35,87.1474,899.875,12.978
5.4,90.5238,895.957,13.5191
5.45,94.0133,891.906,14.0811
5.5,97.6183,887.717,14.6648
5.55,101.341,883.388,15.2708
5.6,105.184,878.916,15.9
5.65,109.149,874.298,16.553
5.7,113.238,869.531,17.2306
5.75,117.454,864.613,17.9335
5.8,121.797,859.54,18.6626
5.85,126.27,854.311,19.4187
5.9,130.875,848.923,20.2025
5.95,135.612,843.373,21.0148
6,140.483,837.66,21.8565
6.05,145.489,831.783,22.7285
6.1,150.63,825.738,23.6315
6.15,155.908,819.526,24.5664
6.2,161.322,813.144,25.534
6.25,166.873,806.592,26.5351
6.3,172.56,799.87,27.5707
6.35,178.382,792.976,28.6416
6.4,184.34,785.911,29.7485
6.45,190.432,778.676,30.8924
6.5,196.656,771.27,32.074
6.55,203.01,763.695,33.2942
6.6,209.493,755.953,34.5537
6.65,216.102,748.044,35.8535
6.7,222.835,739.971,37.1941
6.75,229.686,731.737,38.5765
6.8,236.654,723.344,40.0014
6.85,243.734,714.796,41.4693
6.9,250.922,706.097,42.9812
6.95,258.213,697.25,44.5375
7,265.601,688.26,46.1389
7.05,273.081,679.133,47.7861
7.1,280.647,669.873,49.4796
7.15,288.293,660.487,51.2199
7.2,296.012,650.981,53.0075
7.25,303.796,641.361,54.8429
7.3,311.64,631.634,56.7264
7.35,319.534,621.807,58.6584
7.4,327.472,611.889,60.6392
7.45,335.444,601.887,62.669
7.5,343.442,591.81,64.7481
7.55,351.458,581.665,66.8767
7.6,359.483,571.462,69.0547
7.65,367.508,561.21,71.2823
7.7,375.524,550.917,73.5594
7.75,383.521,540.593,75.886
7.8,391.49,530.248,78.2619
7.85,399.423,519.89,80.687
7.9,407.309,509.53,83.161
7.95,415.14,499.176,85.6836
8,422.907,488.839,88.2544
8.05,430.6,478.527,90.8731
8.1,438.212,468.249,93.5391
8.15,445.733,458.015,96.2519
8.2,453.154,447.835,99.011
8.25,460.469,437.715,101.816
8.3,467.669,427.666,104.665
8.35,474.746,417.694,107.559
8.4,481.694,407.809,110.497
8.45,488.505,398.018,113.476
8.5,495.174,388.328,116.498
8.55,501.694,378.746,119.561
8.6,508.059,369.278,122.663
8.65,514.264,359.932,125.804
8.7,520.305,350.712,128.983
8.75,526.177,341.624,132.2
8.8,531.876,332.673,135.451
8.85,537.399,323.863,138.738
8.9,542.742,315.199,142.058
8.95,547.904,306.685,145.411
9,552.881,298.324,148.795
9.05,557.672,290.118,152.209
9.1,562.277,282.071,155.652
9.15,566.692,274.184,159.123
9.2,570.92,266.46,162.621
9.25,574.958,258.898,166.144
9.3,578.807,251.502,169.691
9.35,582.468,244.27,173.262
9.4,585.941,237.205,176.854
9.45,589.229,230.304,180.467
9.5,592.331,223.569,184.1
9.55,595.25,216.999,187.751
