t,I,S,R
0,1,999,0
0.1,1.0874,998.9,0.0125
0.2,1.18243,998.791,0.0260856
0.3,1.28575,998.673,0.0408514
0.4,1.39808,998.545,0.0569006
0.5,1.52021,998.405,0.074345
0.6,1.65298,998.254,0.0933063
0.7,1.79733,998.089,0.113917
0.8,1.95425,997.909,0.13632
0.9,2.12484,997.714,0.160673
1,2.31028,997.503,0.187144
1.1,2.51185,997.272,0.215918
1.2,2.73096,997.022,0.247197
1.3,2.9691,996.75,0.281196
1.4,3.22793,996.454,0.318154
1.5,3.50923,996.132,0.358326
1.6,3.81493,995.783,0.401993
1.7,4.14713,995.403,0.449456
1.8,4.5081,994.991,0.501045
1.9,4.9003,994.543,0.557118
2,5.3264,994.056,0.618063
2.1,5.78929,993.526,0.684299
2.2,6.29211,992.952,0.756285
2.3,6.83824,992.327,0.834517
2.4,7.43133,991.649,0.919531
2.5,8.07537,990.913,1.01191
2.6,8.77463,990.113,1.11229
2.7,9.53373,989.245,1.22136
2.8,10.3577,988.302,1.33985
2.9,11.2519,987.28,1.46858
3,12.2221,986.17,1.60841
3.1,13.2746,984.965,1.76029
3.2,14.4162,983.659,1.92525
3.3,15.654,982.242,2.10438
3.4,16.996,980.705,2.29889
3.5,18.4503,979.04,2.51006
3.6,20.0261,977.235,2.73929
3.7,21.7327,975.279,2.9881
3.8,23.5806,973.161,3.2581
3.9,25.5807,970.868,3.55104
4,27.7444,968.387,3.86883
4.1,30.0844,965.702,4.21349
4.2,32.6136,962.799,4.5872
4.3,35.3459,959.662,4.99232
4.4,38.2961,956.273,5.43137
4.5,41.4796,952.613,5.90706
4.6,44.9125,948.665,6.42227
4.7,48.6118,944.408,6.98011
4.8,52.595,939.821,7.58388
4.9,56.8806,934.882,8.2371
5,61.4873,929.569,8.94354
5.1,66.4343,923.859,9.70716
5.2,71.7415,917.726,10.5322
5.3,77.4286,911.148,11.4231
5.4,83.5157,904.1,12.3846
5.5,90.0224,896.556,13.4217
5.6,96.9681,888.492,14.5395
5.7,104.372,879.885,15.7435
5.8,112.25,870.71,17.0394
5.9,120.621,860.946,18.4331
6,129.498,850.571,19.9306
6.1,138.894,839.568,21.5383
6.2,148.819,827.918,23.2625
6.3,159.28,815.61,25.1098
6.4,170.28,802.633,27.0869
6.5,181.819,788.981,29.2003
6.6,193.891,774.652,31.4568
6.7,206.487,759.65,33.863
6.8,219.592,743.983,36.4253
6.9,233.184,727.666,39.1499
7,247.237,710.72,42.043
7.1,261.719,693.171,45.1101
7.2,276.589,675.055,48.3565
7.3,291.803,656.41,51.787
7.4,307.309,637.285,55.4058
7.5,323.052,617.731,59.2164
