t,I,S,R
0,1,999,0
0.1,1.15561,998.792,0.0519142
0.2,1.33538,998.553,0.111791
0.3,1.54305,998.276,0.180866
0.4,1.78291,997.957,0.260568
0.5,2.05993,997.588,0.352543
0.6,2.37983,997.161,0.458692
0.7,2.74918,996.67,0.581209
0.8,3.17554,996.102,0.722622
0.9,3.66763,995.447,0.885849
1,4.23543,994.69,1.07425
1.1,4.89042,993.818,1.29169
1.2,5.64575,992.812,1.54264
1.3,6.51646,991.651,1.83221
1.4,7.51977,990.314,2.16631
1.5,8.67531,988.773,2.55171
1.6,10.0054,986.998,2.99618
1.7,11.5355,984.956,3.50863
1.8,13.2943,982.606,4.09926
1.9,15.3143,979.906,4.77974
2,17.632,976.805,5.56337
2.1,20.2882,973.246,6.46532
2.2,23.3285,969.169,7.50281
2.3,26.8032,964.501,8.69537
2.4,30.7676,959.167,10.0651
2.5,35.2819,953.081,11.6367
2.6,40.4108,946.151,13.4382
2.7,46.2232,938.276,15.5005
2.8,52.7909,929.351,17.8582
2.9,60.1875,919.263,20.5493
3,68.4864,907.898,23.6155
3.1,77.7581,895.14,27.1018
3.2,88.0669,880.876,31.0568
3.3,99.4669,865.001,35.532
3.4,111.997,847.421,40.5813
3.5,125.677,828.063,46.2603
3.6,140.499,806.876,52.6248
3.7,156.425,783.845,59.7301
3.8,173.38,758.991,67.6287
3.9,191.249,732.382,76.369
4,209.872,704.135,85.9928
4.1,229.05,674.416,96.5333
4.2,248.543,643.444,108.013
4.3,268.077,611.48,120.443
4.4,287.357,578.825,133.818
4.5,306.074,545.804,148.121
4.6,323.926,512.757,163.317
4.7,340.622,480.022,179.357
4.8,355.904,447.918,196.178
4.9,369.555,416.741,213.704
5,381.406,386.743,231.852
5.1,391.341,358.132,250.527
5.2,399.3,331.068,269.631
5.3,405.274,305.66,289.066
5.4,409.301,281.968,308.731
5.5,411.457,260.013,328.53
5.6,411.85,239.78,348.37
5.7,410.614,221.222,368.164
5.8,407.896,204.271,387.833
5.9,403.85,188.844,407.306
6,398.635,174.847,426.518
6.1,392.406,162.18,445.413
6.2,385.315,150.741,463.945
6.3,377.5,140.429,482.071
6.4,369.094,131.148,499.758
6.5,360.216,122.804,516.98
6.6,350.973,115.311,533.715
6.7,341.463,108.589,549.948
6.8,331.77,102.563,565.666
6.9,321.969,97.1666,580.864
7,312.125,92.3372,595.538
7.1,302.293,88.0199,609.688
7.2,292.521,84.1645,623.315
7.3,282.849,80.7262,636.425
7.4,273.312,77.6646,649.024
7.5,263.936,74.9437,661.12
7.6,254.745,72.5311,672.724
7.7,245.757,70.3981,683.845
7.8,236.986,68.5189,694.495
7.9,228.444,66.8703,704.686
8,220.138,65.4318,714.43
8.1,212.074,64.1849,723.741
8.2,204.256,63.1132,732.631
8.3,196.684,62.2018,741.114
8.4,189.359,61.4375,749.203
8.5,182.281,60.8083,756.911
8.6,175.445,60.3036,764.251
8.7,168.849,59.9138,771.237
8.8,162.49,59.6301,777.88
8.9,156.361,59.4447,784.194
9,150.459,59.3505,790.191
9.1,144.777,59.341,795.882
9.2,139.311,59.4105,801.279
9.3,134.053,59.5537,806.393
9.4,128.998,59.7657,811.237
9.5,124.139,60.0421,815.819
9.6,119.47,60.379,820.151
9.7,114.985,60.7726,824.242
9.8,110.678,61.2196,828.102
9.9,106.542,61.7168,831.741
10,102.571,62.2615,835.167
10.1,98.7599,62.851,838.389
10.2,95.1016,63.4829,841.416
10.3,91.5908,64.155,844.254
10.4,88.2218,64.8651,846.913
10.5,84.9892,65.6113,849.399
10.6,81.8877,66.3919,851.72
10.7,78.9121,67.2051,853.883
10.8,76.0572,68.0494,855.893
10.9,73.3184,68.9234,857.758
11,70.6909,69.8257,859.483
11.1,68.1702,70.7549,861.075
11.2,65.7519,71.7099,862.538
11.3,63.4318,72.6895,863.879
11.4,61.2058,73.6927,865.101
11.5,59.0701,74.7184,866.211
11.6,57.0209,75.7658,867.213
11.7,55.0545,76.8338,868.112
11.8,53.1676,77.9216,868.911
11.9,51.3567,79.0284,869.615
12,49.6188,80.1535,870.228
12.1,47.9507,81.296,870.753
12.2,46.3495,82.4554,871.195
12.3,44.8123,83.6308,871.557
12.4,43.3365,84.8217,871.842
12.5,41.9195,86.0274,872.053
12.6,40.5588,87.2474,872.194
12.7,39.252,88.481,872.267
12.8,37.9969,89.7278,872.275
12.9,36.7913,90.9873,872.221
13,35.633,92.2588,872.108
13.1,34.5202,93.5421,871.938
13.2,33.4508,94.8364,871.713
13.3,32.4231,96.1416,871.435
13.4,31.4354,97.457,871.108
13.5,30.4859,98.7823,870.732
13.6,29.573,100.117,870.31
13.7,28.6953,101.461,869.844
13.8,27.8512,102.814,869.335
13.9,27.0394,104.175,868.786
14,26.2585,105.544,868.198
14.1,25.5072,106.921,867.572
14.2,24.7844,108.305,866.911
14.3,24.0888,109.696,866.215
14.4,23.4194,111.094,865.487
14.5,22.775,112.498,864.727
14.6,22.1547,113.909,863.937
14.7,21.5575,115.325,863.118
14.8,20.9823,116.747,862.271
14.9,20.4284,118.174,861.397
15,19.8949,119.607,860.498
15.1,19.381,121.044,859.575
15.2,18.8858,122.486,858.628
15.3,18.4087,123.932,857.659
15.4,17.9488,125.383,856.668
15.5,17.5057,126.837,855.657
15.6,17.0784,128.295,854.626
15.7,16.6666,129.757,853.577
15.8,16.2694,131.222,852.509
15.9,15.8865,132.69,851.424
16,15.5172,134.161,850.322
16.1,15.1609,135.635,849.205
16.2,14.8173,137.111,848.072
16.3,14.4858,138.589,846.925
16.4,14.1659,140.07,845.764
16.5,13.8573,141.553,844.589
16.6,13.5594,143.038,843.402
16.7,13.272,144.525,842.203
16.8,12.9945,146.013,840.993
16.9,12.7266,147.502,839.771
17,12.4681,148.993,838.539
17.1,12.2184,150.485,837.296
17.2,11.9774,151.978,836.045
17.3,11.7447,153.472,834.783
17.4,11.5199,154.966,833.514
17.5,11.3029,156.462,832.235
17.6,11.0933,157.957,830.949
17.7,10.8909,159.453,829.656
17.8,10.6954,160.949,828.355
17.9,10.5066,162.446,827.048
18,10.3242,163.942,825.734
18.1,10.1481,165.438,824.414
18.2,9.97799,166.934,823.088
18.3,9.81368,168.43,821.756
18.4,9.65499,169.925,820.42
18.5,9.50172,171.42,819.078
18.6,9.35371,172.914,817.732
18.7,9.21078,174.407,816.382
18.8,9.07276,175.9,815.028
18.9,8.93949,177.391,813.669
19,8.81083,178.882,812.307
19.1,8.68663,180.371,810.942
19.2,8.56674,181.859,809.574
19.3,8.45105,183.346,808.203
19.4,8.33941,184.832,806.829
19.5,8.2317,186.316,805.452
19.6,8.12782,187.799,804.074
19.7,8.02764,189.28,802.693
19.8,7.93105,190.759,801.31
19.9,7.83796,192.236,799.926
20,7.74827,193.712,798.54
20.1,7.66187,195.186,797.153
20.2,7.57868,196.657,795.764
20.3,7.49861,198.127,794.375
20.4,7.42158,199.594,792.984
20.5,7.34751,201.059,791.593
20.6,7.27632,202.522,790.201
20.7,7.20793,203.983,788.809
20.8,7.14228,205.441,787.417
20.9,7.0793,206.896,786.024
21,7.01893,208.349,784.632
21.1,6.9611,209.799,783.239
21.2,6.90576,211.247,781.847
21.3,6.85285,212.692,780.455
21.4,6.80232,214.134,779.064
21.5,6.75411,215.573,777.673
21.6,6.70818,217.009,776.283
21.7,6.66448,218.442,774.894
21.8,6.62297,219.872,773.505
21.9,6.58361,221.298,772.118
22,6.54635,222.722,770.732
22.1,6.51116,224.142,769.347
22.2,6.478,225.558,767.964
22.3,6.44684,226.972,766.581
22.4,6.41764,228.382,765.201
22.5,6.39038,229.788,763.822
22.6,6.36504,231.19,762.445
22.7,6.34157,232.589,761.069
22.8,6.31996,233.984,759.696
22.9,6.30018,235.376,758.324
23,6.28221,236.763,756.955
23.1,6.26603,238.147,755.587
23.2,6.25163,239.526,754.222
23.3,6.23898,240.901,752.86
23.4,6.22807,242.273,751.499
23.5,6.21888,243.639,750.142
23.6,6.2114,245.002,748.786
23.7,6.20563,246.36,747.434
23.8,6.20154,247.714,746.084
23.9,6.19913,249.064,744.737
24,6.1984,250.409,743.393
24.1,6.19933,251.749,742.052
24.2,6.20192,253.084,740.714
24.3,6.20617,254.415,739.379
24.4,6.21207,255.741,738.047
24.5,6.21962,257.062,736.719
24.6,6.22883,258.378,735.393
24.7,6.23969,259.689,734.072
24.8,6.2522,260.994,732.753
24.9,6.26637,262.295,731.439
25,6.2822,263.59,730.128
25.1,6.29971,264.88,728.821
25.2,6.31888,266.164,727.517
25.3,6.33974,267.443,726.217
25.4,6.36229,268.716,724.922
25.5,6.38654,269.983,723.63
25.6,6.4125,271.245,722.343
25.7,6.44019,272.5,721.059
25.8,6.46962,273.75,719.78
25.9,6.5008,274.994,718.506
26,6.53375,276.231,717.235
26.1,6.56848,277.462,715.969
26.2,6.60502,278.687,714.708
26.3,6.64338,279.905,713.451
26.4,6.68359,281.117,712.2
26.5,6.72566,282.322,710.952
26.6,6.76963,283.52,709.71
26.7,6.8155,284.711,708.473
26.8,6.86331,285.896,707.241
26.9,6.91309,287.073,706.014
27,6.96486,288.243,704.792
27.1,7.01865,289.406,703.576
27.2,7.07449,290.561,702.365
27.3,7.13242,291.708,701.159
27.4,7.19246,292.848,699.959
27.5,7.25465,293.98,698.765
27.6,7.31902,295.104,697.577
27.7,7.38562,296.22,696.394
27.8,7.45447,297.328,695.217
27.9,7.52563,298.427,694.047
28,7.59912,299.518,692.883
28.1,7.67499,300.6,691.725
28.2,7.75328,301.674,690.573
28.3,7.83405,302.738,689.428
28.4,7.91732,303.793,688.289
28.5,8.00316,304.839,687.158
28.6,8.09161,305.876,686.033
28.7,8.18272,306.903,684.915
28.8,8.27655,307.92,683.804
28.9,8.37313,308.927,682.7
29,8.47254,309.924,681.604
29.1,8.57482,310.91,680.515
29.2,8.68004,311.887,679.433
29.3,8.78824,312.852,678.36
29.4,8.8995,313.807,677.294
29.5,9.01387,314.75,676.236
29.6,9.13142,315.683,675.186
29.7,9.25221,316.603,674.144
29.8,9.37631,317.512,673.111
29.9,9.50378,318.41,672.087
30,9.6347,319.295,671.071
30.1,9.76914,320.167,670.064
30.2,9.90715,321.027,669.065
30.3,10.0488,321.875,668.077
30.4,10.1942,322.709,667.097
30.5,10.3435,323.53,666.127
30.6,10.4966,324.337,665.166
30.7,10.6537,325.131,664.216
30.8,10.8148,325.91,663.275
30.9,10.98,326.675,662.345
31,11.1495,327.426,661.425
31.1,11.3233,328.162,660.515
31.2,11.5014,328.882,659.616
31.3,11.684,329.587,658.729
31.4,11.8712,330.277,657.852
31.5,12.063,330.95,656.987
31.6,12.2595,331.608,656.133
31.7,12.4608,332.248,655.291
31.8,12.667,332.872,654.461
31.9,12.8783,333.478,653.643
32,13.0946,334.067,652.838
32.1,13.3161,334.638,652.046
32.2,13.5429,335.191,651.266
32.3,13.775,335.726,650.499
