t,I,S,R
0,1,999,0
0.1,10.8894,988.985,0.125548
0.2,113.82,884.705,1.47485
0.3,795.949,190.191,13.8601
0.4,1020.04,-78.6651,58.6264
0.5,861.412,32.2775,106.31
0.6,863.362,-12.8915,149.529
0.7,803.33,5.25386,191.416
0.8,771.036,-1.81061,230.775
0.9,730.826,0.918156,268.255
1,696.286,-0.0291322,303.743
1.1,662.223,0.354039,337.423
1.2,630.362,0.281053,369.357
1.3,599.994,0.359403,399.647
1.4,571.234,0.393874,428.372
1.5,543.941,0.443389,455.615
1.6,518.056,0.49154,481.453
1.7,493.502,0.542634,505.956
1.8,470.21,0.595749,529.194
1.9,448.117,0.65116,551.232
2,427.16,0.708899,572.132
2.1,407.28,0.769037,591.951
2.2,388.422,0.831642,610.747
2.3,370.533,0.89678,628.571
2.4,353.563,0.964516,645.473
2.5,337.465,1.03491,661.5
2.6,322.193,1.10803,676.699
2.7,307.706,1.18393,691.11
2.8,293.962,1.26267,704.775
2.9,280.923,1.3443,717.732
3,268.553,1.42887,730.018
3.1,256.818,1.51642,741.666
3.2,245.684,1.60701,752.709
3.3,235.12,1.70067,763.179
3.4,225.098,1.79743,773.105
3.5,215.589,1.89732,782.514
3.6,206.566,2.00036,791.434
3.7,198.005,2.10657,799.889
3.8,189.882,2.21595,807.902
3.9,182.174,2.32852,815.498
4,174.859,2.44427,822.696
4.1,167.919,2.56319,829.518
4.2,161.332,2.68525,835.983
4.3,155.082,2.81044,842.108
4.4,149.15,2.93871,847.911
4.5,143.521,3.07003,853.409
4.6,138.179,3.20434,858.617
4.7,133.108,3.34159,863.55
4.8,128.296,3.4817,868.222
4.9,123.729,3.6246,872.647
5,119.394,3.77019,876.836
5.1,115.279,3.9184,880.802
5.2,111.374,4.06911,884.557
5.3,107.668,4.2222,888.11
5.4,104.149,4.37757,891.473
5.5,100.81,4.53507,894.655
5.6,97.6405,4.69458,897.665
5.7,94.632,4.85594,900.512
5.8,91.7765,5.01901,903.204
5.9,89.0663,5.18363,905.75
6,86.494,5.34964,908.156
6.1,84.0527,5.51685,910.43
6.2,81.7358,5.6851,912.579
6.3,79.5371,5.8542,914.609
6.4,77.4506,6.02397,916.525
6.5,75.4709,6.19422,918.335
6.6,73.5925,6.36476,920.043
6.7,71.8104,6.53538,921.654
6.8,70.1199,6.70591,923.174
6.9,68.5164,6.87613,924.607
7,66.9956,7.04584,925.959
7.1,65.5536,7.21486,927.232
7.2,64.1864,7.38299,928.431
7.3,62.8903,7.55003,929.56
7.4,61.6619,7.71579,930.622
7.5,60.4979,7.88008,931.622
7.6,59.3952,8.04272,932.562
7.7,58.3507,8.20352,933.446
7.8,57.3617,8.36232,934.276
7.9,56.4254,8.51894,935.056
8,55.5394,8.67323,935.787
8.1,54.7011,8.82502,936.474
8.2,53.9083,8.97417,937.118
8.3,53.1588,9.12055,937.721
8.4,52.4504,9.26402,938.286
8.5,51.7812,9.40446,938.814
8.6,51.1493,9.54176,939.309
8.7,50.5529,9.67581,939.771
8.8,49.9902,9.80653,940.203
8.9,49.4596,9.93383,940.607
9,48.9595,10.0576,940.983
9.1,48.4884,10.1779,941.334
9.2,48.0448,10.2946,941.661
9.3,47.6275,10.4076,941.965
9.4,47.235,10.5169,942.248
9.5,46.8662,10.6226,942.511
9.6,46.5198,10.7245,942.756
9.7,46.1947,10.8228,942.983
9.8,45.8898,10.9173,943.193
9.9,45.604,11.0082,943.388
10,45.3363,11.0954,943.568
10.1,45.0859,11.179,943.735
10.2,44.8516,11.259,943.889
10.3,44.6328,11.3355,944.032
10.4,44.4285,11.4085,944.163
10.5,44.2379,11.4781,944.284
10.6,44.0603,11.5444,944.395
10.7,43.8949,11.6074,944.498
10.8,43.741,11.6673,944.592
10.9,43.598,11.724,944.678
11,43.4651,11.7778,944.757
11.1,43.3419,11.8286,944.829
11.2,43.2278,11.8766,944.896
11.3,43.1221,11.9219,944.956
11.4,43.0243,11.9645,945.011
11.5,42.934,12.0047,945.061
11.6,42.8506,12.0423,945.107
11.7,42.7737,12.0777,945.149
11.8,42.703,12.1108,945.186
11.9,42.6379,12.1418,945.22
12,42.5781,12.1708,945.251
12.1,42.5232,12.1978,945.279
12.2,42.473,12.223,945.304
12.3,42.427,12.2465,945.327
12.4,42.3849,12.2682,945.347
12.5,42.3465,12.2885,945.365
12.6,42.3115,12.3072,945.381
12.7,42.2796,12.3246,945.396
12.8,42.2507,12.3406,945.409
12.9,42.2244,12.3554,945.42
13,42.2005,12.369,945.43
13.1,42.179,12.3816,945.439
13.2,42.1595,12.3931,945.447
13.3,42.142,12.4037,945.454
13.4,42.1262,12.4135,945.46
13.5,42.112,12.4223,945.466
13.6,42.0992,12.4305,945.47
13.7,42.0878,12.4379,945.474
13.8,42.0777,12.4446,945.478
13.9,42.0686,12.4508,945.481
14,42.0606,12.4563,945.483
14.1,42.0535,12.4614,945.485
14.2,42.0472,12.466,945.487
14.3,42.0416,12.4701,945.488
14.4,42.0368,12.4738,945.489
14.5,42.0325,12.4772,945.49
14.6,42.0288,12.4802,945.491
14.7,42.0256,12.4829,945.492
14.8,42.0228,12.4853,945.492
14.9,42.0204,12.4874,945.492
15,42.0184,12.4894,945.492
15.1,42.0167,12.4911,945.492
15.2,42.0152,12.4926,945.492
15.3,42.0141,12.4939,945.492
15.4,42.0131,12.4951,945.492
15.5,42.0123,12.4961,945.492
15.6,42.0117,12.497,945.491
15.7,42.0112,12.4978,945.491
15.8,42.0109,12.4984,945.491
15.9,42.0106,12.499,945.49
16,42.0105,12.4995,945.49
16.1,42.0104,12.4999,945.49
16.2,42.0104,12.5003,945.489
16.3,42.0105,12.5006,945.489
16.4,42.0106,12.5008,945.489
16.5,42.0107,12.501,945.488
16.6,42.0109,12.5012,945.488
16.7,42.0111,12.5013,945.488
16.8,42.0113,12.5014,945.487
16.9,42.0116,12.5015,945.487
17,42.0118,12.5015,945.487
17.1,42.0121,12.5015,945.486
17.2,42.0123,12.5015,945.486
17.3,42.0126,12.5015,945.486
17.4,42.0128,12.5015,945.486
17.5,42.0131,12.5015,945.485
17.6,42.0133,12.5014,945.485
17.7,42.0136,12.5014,945.485
17.8,42.0138,12.5014,945.485
17.9,42.014,12.5013,945.485
18,42.0143,12.5012,945.485
18.1,42.0145,12.5012,945.484
18.2,42.0147,12.5011,945.484
18.3,42.0148,12.5011,945.484
18.4,42.015,12.501,945.484
18.5,42.0152,12.501,945.484
18.6,42.0154,12.5009,945.484
18.7,42.0155,12.5009,945.484
18.8,42.0156,12.5008,945.484
18.9,42.0158,12.5007,945.483
19,42.0159,12.5007,945.483
19.1,42.016,12.5007,945.483
19.2,42.0161,12.5006,945.483
19.3,42.0162,12.5006,945.483
19.4,42.0163,12.5005,945.483
19.5,42.0164,12.5005,945.483
19.6,42.0165,12.5004,945.483
19.7,42.0166,12.5004,945.483
19.8,42.0166,12.5004,945.483
19.9,42.0167,12.5003,945.483
20,42.0167,12.5003,945.483
20.1,42.0168,12.5003,945.483
20.2,42.0168,12.5003,945.483
20.3,42.0169,12.5002,945.483
20.4,42.0169,12.5002,945.483
20.5,42.017,12.5002,945.483
20.6,42.017,12.5002,945.483
20.7,42.017,12.5002,945.483
20.8,42.017,12.5002,945.483
20.9,42.0171,12.5001,945.483
21,42.0171,12.5001,945.483
21.1,42.0171,12.5001,945.483
21.2,42.0171,12.5001,945.483
21.3,42.0171,12.5001,945.483
21.4,42.0172,12.5001,945.483
21.5,42.0172,12.5001,945.483
21.6,42.0172,12.5001,945.483
21.7,42.0172,12.5001,945.483
21.8,42.0172,12.5,945.483
21.9,42.0172,12.5,945.483
22,42.0172,12.5,945.483
22.1,42.0172,12.5,945.483
22.2,42.0172,12.5,945.483
22.3,42.0172,12.5,945.483
22.4,42.0172,12.5,945.483
22.5,42.0172,12.5,945.483
22.6,42.0172,12.5,945.483
22.7,42.0173,12.5,945.483
22.8,42.0173,12.5,945.483
22.9,42.0173,12.5,945.483
23,42.0173,12.5,945.483
23.1,42.0173,12.5,945.483
23.2,42.0173,12.5,945.483
23.3,42.0173,12.5,945.483
23.4,42.0173,12.5,945.483
23.5,42.0173,12.5,945.483
23.6,42.0173,12.5,945.483
23.7,42.0173,12.5,945.483
23.8,42.0173,12.5,945.483
23.9,42.0173,12.5,945.483
24,42.0173,12.5,945.483
24.1,42.0173,12.5,945.483
24.2,42.0173,12.5,945.483
24.3,42.0173,12.5,945.483
24.4,42.0173,12.5,945.483
24.5,42.0173,12.5,945.483
24.6,42.0173,12.5,945.483
24.7,42.0173,12.5,945.483
24.8,42.0173,12.5,945.483
24.9,42.0173,12.5,945.483
25,42.0173,12.5,945.483
25.1,42.0173,12.5,945.483
25.2,42.0173,12.5,945.483
25.3,42.0173,12.5,945.483
25.4,42.0173,12.5,945.483
25.5,42.0173,12.5,945.483
