t,I,S,R
0,1,999,0
0.1,1.41186,998.561,0.0274748
0.2,1.99301,997.941,0.0662025
0.3,2.81272,997.066,0.120807
0.4,3.96828,995.834,0.197802
0.5,5.596,994.098,0.306355
0.6,7.88625,991.654,0.459345
0.7,11.1037,988.222,0.674831
0.8,15.6136,983.408,0.978059
0.9,21.9158,976.68,1.40417
1,30.6845,967.314,2.00178
1.1,42.8113,954.351,2.83759
1.2,59.4417,936.556,4.00203
1.3,81.9851,912.399,5.61566
1.4,112.062,880.102,7.8354
1.5,151.338,837.803,10.8589
1.6,201.182,783.894,14.9234
1.7,262.129,717.576,20.2953
1.8,333.225,639.53,27.2447
1.9,411.52,552.475,36.0048
2,492.096,461.182,46.7216
2.1,568.935,371.655,59.4097
2.2,636.405,289.661,73.9342
2.3,690.689,219.28,90.0304
2.4,730.421,162.224,107.354
2.5,756.373,118.084,125.543
2.6,770.605,85.1318,144.263
2.7,775.617,61.1469,163.236
2.8,773.775,43.9788,182.246
2.9,767.05,31.8143,201.135
3,756.965,23.2425,219.792
3.1,744.642,17.2178,238.14
3.2,730.882,12.9876,256.13
3.3,716.25,10.0196,273.73
3.4,701.137,7.94067,290.922
3.5,685.813,6.4902,307.697
3.6,670.462,5.48626,324.052
3.7,655.212,4.80159,339.987
3.8,640.147,4.3468,355.506
3.9,625.325,4.05883,370.617
4,610.782,3.89293,385.325
4.1,596.544,3.8172,399.639
4.2,582.624,3.80872,413.567
4.3,569.03,3.85094,427.119
4.4,555.765,3.93183,440.303
4.5,542.828,4.04261,453.129
4.6,530.218,4.1768,465.605
4.7,517.93,4.32962,477.74
4.8,505.959,4.49752,489.544
4.9,494.298,4.67782,501.024
5,482.943,4.86853,512.189
5.1,471.885,5.06812,523.047
5.2,461.117,5.27546,533.607
5.3,450.634,5.48965,543.876
5.4,440.427,5.71003,553.863
5.5,430.49,5.93607,563.574
5.6,420.816,6.16738,573.016
5.7,411.399,6.40363,582.198
5.8,402.23,6.64459,591.125
5.9,393.304,6.89006,599.806
6,384.615,7.13989,608.245
6.1,376.156,7.39396,616.45
6.2,367.921,7.65217,624.427
6.3,359.904,7.91444,632.182
6.4,352.099,8.18071,639.72
6.5,344.501,8.45093,647.048
6.6,337.103,8.72505,654.172
6.7,329.901,9.00304,661.096
6.8,322.89,9.28485,667.825
6.9,316.063,9.57046,674.366
7,309.417,9.85985,680.723
7.1,302.946,10.153,686.901
7.2,296.645,10.4498,692.905
7.3,290.511,10.7504,698.739
7.4,284.538,11.0546,704.407
7.5,278.722,11.3625,709.915
7.6,273.059,11.674,715.267
7.7,267.545,11.9891,720.465
7.8,262.176,12.3078,725.516
7.9,256.948,12.63,730.422
8,251.857,12.9557,735.187
8.1,246.899,13.2849,739.816
8.2,242.071,13.6176,744.311
8.3,237.37,13.9537,748.676
8.4,232.792,14.2932,752.915
8.5,228.333,14.636,757.031
8.6,223.991,14.9822,761.027
8.7,219.762,15.3316,764.907
8.8,215.643,15.6843,768.673
8.9,211.632,16.0402,772.328
9,207.725,16.3992,775.876
9.1,203.92,16.7613,779.318
9.2,200.214,17.1265,782.659
9.3,196.605,17.4947,785.9
9.4,193.089,17.8658,789.045
9.5,189.665,18.2399,792.095
9.6,186.329,18.6168,795.054
9.7,183.08,18.9966,797.923
9.8,179.916,19.379,800.705
9.9,176.833,19.7642,803.403
10,173.83,20.152,806.018
10.1,170.905,20.5424,808.552
10.2,168.056,20.9352,811.009
10.3,165.281,21.3306,813.389
10.4,162.577,21.7283,815.695
10.5,159.943,22.1283,817.929
10.6,157.377,22.5305,820.092
10.7,154.878,22.935,822.187
10.8,152.443,23.3415,824.215
10.9,150.071,23.7501,826.179
11,147.761,24.1606,828.079
11.1,145.51,24.5731,829.917
11.2,143.317,24.9873,831.696
11.3,141.18,25.4033,833.416
11.4,139.099,25.821,835.08
11.5,137.072,26.2402,836.688
11.6,135.097,26.6609,838.242
11.7,133.173,27.0831,839.743
11.8,131.299,27.5066,841.194
11.9,129.474,27.9314,842.595
12,127.695,28.3574,843.947
12.1,125.963,28.7844,845.253
12.2,124.275,29.2125,846.512
12.3,122.632,29.6415,847.727
12.4,121.031,30.0713,848.898
12.5,119.471,30.5019,850.027
12.6,117.952,30.9331,851.115
12.7,116.473,31.365,852.162
12.8,115.032,31.7973,853.171
12.9,113.629,32.23,854.141
13,112.262,32.6631,855.075
13.1,110.931,33.0964,855.972
13.2,109.635,33.5298,856.835
13.3,108.374,33.9632,857.663
13.4,107.145,34.3966,858.458
13.5,105.949,34.8299,859.222
13.6,104.784,35.2629,859.953
13.7,103.65,35.6956,860.654
13.8,102.546,36.1279,861.326
13.9,101.472,36.5597,861.968
14,100.426,36.9909,862.583
14.1,99.4087,37.4214,863.17
14.2,98.4184,37.8511,863.73
14.3,97.4548,38.28,864.265
14.4,96.5172,38.7079,864.775
14.5,95.6051,39.1347,865.26
14.6,94.7178,39.5604,865.722
