t,I,S,R
0,1,120,0
0.1,0.997996,119.952,0.0499461
0.2,0.995977,119.904,0.099681
0.3,0.993943,119.857,0.149204
0.4,0.991895,119.81,0.198516
0.5,0.989832,119.763,0.247615
0.6,0.987755,119.716,0.296503
0.7,0.985663,119.669,0.345177
0.8,0.983558,119.623,0.393639
0.9,0.981439,119.577,0.441888
1,0.979306,119.531,0.489923
1.1,0.977161,119.485,0.537746
1.2,0.975002,119.44,0.585354
1.3,0.97283,119.394,0.632749
1.4,0.970645,119.349,0.67993
1.5,0.968448,119.305,0.726897
1.6,0.966239,119.26,0.773649
1.7,0.964017,119.216,0.820188
1.8,0.961784,119.172,0.866511
1.9,0.959539,119.128,0.91262
2,0.957282,119.084,0.958514
2.1,0.955014,119.041,1.00419
2.2,0.952735,118.998,1.04966
2.3,0.950444,118.955,1.09491
2.4,0.948143,118.912,1.13994
2.5,0.945832,118.869,1.18476
2.6,0.94351,118.827,1.22937
2.7,0.941177,118.785,1.27375
2.8,0.938835,118.743,1.31793
2.9,0.936483,118.702,1.36189
3,0.934121,118.66,1.40563
3.1,0.93175,118.619,1.44916
3.2,0.92937,118.578,1.49247
3.3,0.92698,118.537,1.53557
3.4,0.924581,118.497,1.57845
3.5,0.922174,118.457,1.62112
3.6,0.919758,118.417,1.66357
3.7,0.917334,118.377,1.7058
3.8,0.914902,118.337,1.74783
3.9,0.912462,118.298,1.78963
4,0.910014,118.259,1.83122
4.1,0.907558,118.22,1.8726
4.2,0.905095,118.181,1.91376
4.3,0.902624,118.143,1.95471
4.4,0.900146,118.104,1.99544
4.5,0.897662,118.066,2.03596
4.6,0.89517,118.029,2.07627
4.7,0.892673,117.991,2.11636
4.8,0.890168,117.954,2.15623
4.9,0.887658,117.916,2.1959
5,0.885141,117.88,2.23535
5.1,0.882619,117.843,2.27458
5.2,0.88009,117.806,2.3136
5.3,0.877556,117.77,2.35241
5.4,0.875017,117.734,2.39101
5.5,0.872473,117.698,2.42939
5.6,0.869923,117.663,2.46757
5.7,0.867369,117.627,2.50552
5.8,0.86481,117.592,2.54327
5.9,0.862246,117.557,2.58081
6,0.859678,117.522,2.61813
6.1,0.857105,117.488,2.65524
6.2,0.854528,117.453,2.69214
6.3,0.851948,117.419,2.72884
6.4,0.849364,117.385,2.76532
6.5,0.846776,117.352,2.80159
