t,I,S,R
0,1,999,0
0.01,1.00874,998.99,0.00125
0.02,1.01756,998.98,0.00251092
0.03,1.02645,998.97,0.00378287
0.04,1.03542,998.96,0.00506593
0.05,1.04447,998.949,0.00636021
0.06,1.0536,998.939,0.00766579
0.07,1.06281,998.928,0.00898279
0.08,1.07209,998.918,0.0103113
0.09,1.08146,998.907,0.0116514
0.1,1.09091,998.896,0.0130032
0.11,1.10045,998.885,0.0143669
0.12,1.11006,998.874,0.0157424
0.13,1.11976,998.863,0.01713
0.14,1.12955,998.852,0.0185297
0.15,1.13942,998.841,0.0199417
0.16,1.14938,998.829,0.0213659
0.17,1.15942,998.818,0.0228027
0.18,1.16955,998.806,0.0242519
0.19,1.17977,998.795,0.0257139
0.2,1.19008,998.783,0.0271886
0.21,1.20048,998.771,0.0286762
0.22,1.21097,998.759,0.0301768
0.23,1.22155,998.747,0.0316905
0.24,1.23222,998.735,0.0332174
0.25,1.24299,998.722,0.0347577
0.26,1.25385,998.71,0.0363115
0.27,1.2648,998.697,0.0378788
0.28,1.27585,998.685,0.0394598
0.29,1.287,998.672,0.0410546
0.3,1.29825,998.659,0.0426633
0.31,1.30959,998.646,0.0442861
0.32,1.32103,998.633,0.0459231
0.33,1.33257,998.62,0.0475744
0.34,1.34421,998.607,0.0492401
0.35,1.35595,998.593,0.0509204
0.36,1.3678,998.58,0.0526153
0.37,1.37975,998.566,0.0543251
0.38,1.3918,998.552,0.0560498
0.39,1.40396,998.538,0.0577895
0.4,1.41622,998.524,0.0595445
0.41,1.4286,998.51,0.0613148
0.42,1.44107,998.496,0.0631005
0.43,1.45366,998.481,0.0649019
0.44,1.46636,998.467,0.0667189
0.45,1.47917,998.452,0.0685519
0.46,1.49209,998.438,0.0704008
0.47,1.50512,998.423,0.0722659
0.48,1.51827,998.408,0.0741473
0.49,1.53153,998.392,0.0760452
0.5,1.5449,998.377,0.0779596
0.51,1.5584,998.362,0.0798907
0.52,1.57201,998.346,0.0818387
0.53,1.58574,998.33,0.0838037
0.54,1.59958,998.315,0.0857859
0.55,1.61355,998.299,0.0877854
0.56,1.62764,998.283,0.0898023
0.57,1.64186,998.266,0.0918369
0.58,1.6562,998.25,0.0938892
0.59,1.67066,998.233,0.0959594
0.6,1.68525,998.217,0.0980478
0.61,1.69996,998.2,0.100154
0.62,1.71481,998.183,0.102279
