t,I,S,R
0,1,999,0
0.1,1.0874,998.9,0.0125
0.2,1.18243,998.791,0.0260925
0.3,1.28575,998.673,0.0408728
0.4,1.39808,998.545,0.0569447
0.5,1.52021,998.405,0.0744207
0.6,1.65298,998.254,0.0934233
0.7,1.79733,998.089,0.114086
0.8,1.95425,997.909,0.136552
0.9,2.12484,997.714,0.16098
1,2.31028,997.502,0.187541
1.1,2.51185,997.272,0.216419
1.2,2.73096,997.021,0.247818
1.3,2.9691,996.749,0.281955
1.4,3.22793,996.453,0.319068
1.5,3.50923,996.131,0.359418
1.6,3.81493,995.782,0.403283
1.7,4.14713,995.402,0.45097
1.8,4.5081,994.989,0.502809
1.9,4.90029,994.541,0.55916
2,5.3264,994.053,0.620414
2.1,5.78929,993.524,0.686993
2.2,6.2921,992.949,0.75936
2.3,6.83822,992.324,0.838011
2.4,7.43132,991.645,0.923489
2.5,8.07535,990.908,1.01638
2.6,8.7746,990.108,1.11732
2.7,9.5337,989.239,1.227
2.8,10.3576,988.296,1.34618
2.9,11.2518,987.273,1.47565
3,12.222,986.162,1.61629
3.1,13.2745,984.956,1.76907
3.2,14.4161,983.649,1.935
3.3,15.6539,982.231,2.1152
3.4,16.9958,980.693,2.31088
3.5,18.4501,979.027,2.52332
3.6,20.0258,977.22,2.75395
3.7,21.7325,975.263,3.00427
3.8,23.5803,973.144,3.27593
3.9,25.5803,970.849,3.57068
4,27.744,968.366,3.89044
4.1,30.0838,965.679,4.23724
4.2,32.6129,962.774,4.61328
4.3,35.3451,959.634,5.02094
4.4,38.2951,956.242,5.46276
4.5,41.4784,952.58,5.94145
4.6,44.911,948.629,6.45993
4.7,48.61,944.369,7.02132
4.8,52.593,939.778,7.62894
4.9,56.8782,934.835,8.28635
5,61.4844,929.518,8.99733
5.1,66.4309,923.803,9.76589
5.2,71.7374,917.666,10.5963
5.3,77.4238,911.083,11.493
5.4,83.5099,904.029,12.4608
5.5,90.0156,896.48,13.5047
5.6,96.9601,888.41,14.6299
5.7,104.362,879.796,15.8419
5.8,112.239,870.614,17.1464
5.9,120.608,860.843,18.5494
6,129.483,850.46,20.057
6.1,138.876,839.448,21.6755
6.2,148.798,827.79,23.4115
6.3,159.256,815.473,25.2715
6.4,170.252,802.486,27.2622
6.5,181.786,788.823,29.3903
6.6,193.854,774.484,31.6626
6.7,206.444,759.47,34.0858
6.8,219.543,743.791,36.6664
6.9,233.128,727.462,39.4106
7,247.173,710.503,42.3247
7.1,261.645,692.941,45.4144
7.2,276.505,674.81,48.685
7.3,291.707,656.152,52.1413
7.4,307.201,637.011,55.7876
7.5,322.93,617.442,59.6276
