t,I,S,R
0,1,999,0
0.1,1.38195,998.563,0.0546343
0.2,1.90949,997.96,0.130133
0.3,2.63779,997.128,0.234445
0.4,3.64275,995.979,0.378531
0.5,5.0284,994.394,0.577487
0.6,6.937,992.211,0.852077
0.7,9.5622,989.207,1.23081
0.8,13.166,985.081,1.7527
0.9,18.0999,979.429,2.47096
1,24.8301,971.712,3.45782
1.1,33.9641,961.225,4.81052
1.2,46.2756,947.066,6.65881
1.3,62.7158,928.111,9.17337
1.4,84.3943,903.031,12.5745
1.5,112.503,870.357,17.1394
1.6,148.149,828.647,23.2041
1.7,192.066,776.778,31.1558
1.8,244.218,714.372,41.4097
1.9,303.372,642.264,54.3643
2,366.846,562.816,70.3382
2.1,430.649,479.853,89.4984
2.2,490.154,398.044,111.803
2.3,541.127,321.893,136.98
2.4,580.677,254.76,164.563
2.5,607.696,198.339,193.964
2.6,622.697,152.742,224.561
2.7,627.26,116.969,255.771
2.8,623.423,89.4786,287.098
2.9,613.228,68.6231,318.149
3,598.467,52.9044,348.628
3.1,580.594,41.0774,378.328
3.2,560.731,32.1622,407.107
3.3,539.711,25.4128,434.877
3.4,518.141,20.2719,461.587
3.5,496.454,16.3281,487.218
3.6,474.956,13.279,511.765
3.7,453.855,10.9021,535.243
3.8,433.294,9.03382,557.672
3.9,413.366,7.553,579.081
4,394.127,6.36963,599.503
4.1,375.612,5.41636,618.972
4.2,357.834,4.64246,637.524
4.3,340.794,4.00943,655.197
4.4,324.485,3.48789,672.027
4.5,308.894,3.05521,688.051
4.6,294.002,2.69386,703.304
4.7,279.788,2.39016,717.822
4.8,266.229,2.13336,731.637
4.9,253.302,1.91497,744.783
5,240.982,1.72821,757.289
5.1,229.245,1.56767,769.188
5.2,218.065,1.42897,780.506
5.3,207.419,1.30857,791.273
5.4,197.283,1.20359,801.513
5.5,187.635,1.11166,811.253
5.6,178.452,1.03082,820.517
5.7,169.713,0.959461,829.328
5.8,161.397,0.896242,837.706
5.9,153.485,0.840034,845.674
6,145.958,0.789895,853.252
6.1,138.797,0.745026,860.458
6.2,131.985,0.704753,867.31
6.3,125.505,0.668502,873.826
6.4,119.342,0.635783,880.022
6.5,113.48,0.606175,885.914
6.6,107.904,0.579317,891.516
6.7,102.602,0.554896,896.843
6.8,97.5587,0.532642,901.909
