t,I,S,R
0,1,120,0
0.1,0.997996,119.952,0.0499745
0.2,0.995977,119.904,0.0998485
0.3,0.993943,119.856,0.149621
0.4,0.991895,119.809,0.199293
0.5,0.989831,119.761,0.248861
0.6,0.987753,119.714,0.298326
0.7,0.985661,119.667,0.347687
0.8,0.983555,119.62,0.396943
0.9,0.981434,119.572,0.446094
1,0.9793,119.526,0.495138
1.1,0.977152,119.479,0.544076
1.2,0.974991,119.432,0.592906
1.3,0.972816,119.386,0.641628
1.4,0.970628,119.339,0.690241
1.5,0.968427,119.293,0.738744
1.6,0.966213,119.247,0.787137
1.7,0.963986,119.201,0.835419
1.8,0.961746,119.155,0.88359
1.9,0.959495,119.109,0.931649
2,0.95723,119.063,0.979595
2.1,0.954954,119.018,1.02743
2.2,0.952666,118.972,1.07515
2.3,0.950366,118.927,1.12275
2.4,0.948054,118.882,1.17024
2.5,0.945731,118.837,1.21761
2.6,0.943397,118.792,1.26487
2.7,0.941051,118.747,1.31201
2.8,0.938695,118.702,1.35903
2.9,0.936327,118.658,1.40594
3,0.933949,118.613,1.45272
3.1,0.931561,118.569,1.49939
3.2,0.929162,118.525,1.54594
3.3,0.926753,118.481,1.59236
3.4,0.924333,118.437,1.63867
3.5,0.921904,118.393,1.68486
3.6,0.919466,118.35,1.73092
3.7,0.917017,118.306,1.77686
3.8,0.91456,118.263,1.82268
3.9,0.912093,118.22,1.86838
4,0.909616,118.176,1.91395
4.1,0.907131,118.133,1.9594
4.2,0.904638,118.091,2.00472
4.3,0.902135,118.048,2.04992
4.4,0.899625,118.005,2.095
4.5,0.897105,117.963,2.13995
4.6,0.894578,117.921,2.18477
4.7,0.892043,117.878,2.22947
4.8,0.8895,117.836,2.27404
4.9,0.886949,117.795,2.31848
5,0.884391,117.753,2.3628
5.1,0.881825,117.711,2.40698
5.2,0.879253,117.67,2.45104
5.3,0.876673,117.628,2.49497
5.4,0.874086,117.587,2.53877
5.5,0.871492,117.546,2.58244
5.6,0.868892,117.505,2.62598
5.7,0.866286,117.464,2.6694
5.8,0.863673,117.424,2.71268
5.9,0.861054,117.383,2.75583
6,0.858429,117.343,2.79885
6.1,0.855798,117.302,2.84173
6.2,0.853162,117.262,2.88449
6.3,0.85052,117.222,2.92711
6.4,0.847873,117.183,2.96961
6.5,0.84522,117.143,3.01197
6.6,0.842562,117.103,3.05419
6.7,0.8399,117.064,3.09629
6.8,0.837232,117.025,3.13825
6.9,0.83456,116.985,3.18008
7,0.831883,116.946,3.22177
7.1,0.829203,116.907,3.26333
7.2,0.826517,116.869,3.30476
7.3,0.823828,116.83,3.34605
7.4,0.821135,116.792,3.3872
7.5,0.818438,116.753,3.42823
7.6,0.815737,116.715,3.46911
7.7,0.813033,116.677,3.50987
7.8,0.810325,116.639,3.55048
7.9,0.807615,116.601,3.59096
8,0.804901,116.564,3.63131
8.1,0.802184,116.526,3.67152
8.2,0.799464,116.489,3.7116
8.3,0.796742,116.452,3.75153
8.4,0.794017,116.415,3.79134
8.5,0.791289,116.378,3.831
8.6,0.78856,116.341,3.87053
8.7,0.785828,116.304,3.90993
8.8,0.783094,116.268,3.94918
8.9,0.780358,116.231,3.9883
9,0.777621,116.195,4.02728
9.1,0.774882,116.159,4.06613
9.2,0.772141,116.123,4.10484
9.3,0.769399,116.087,4.14341
9.4,0.766656,116.051,4.18185
9.5,0.763911,116.016,4.22014
9.6,0.761166,115.981,4.25831
9.7,0.758419,115.945,4.29633
9.8,0.755672,115.91,4.33421
9.9,0.752925,115.875,4.37196
10,0.750176,115.84,4.40957
10.1,0.747428,115.806,4.44705
10.2,0.744679,115.771,4.48438
10.3,0.74193,115.736,4.52158
10.4,0.739181,115.702,4.55864
10.5,0.736431,115.668,4.59557
10.6,0.733683,115.634,4.63236
10.7,0.730934,115.6,4.669
10.8,0.728186,115.566,4.70552
10.9,0.725438,115.533,4.74189
11,0.722691,115.499,4.77813
11.1,0.719945,115.466,4.81423
11.2,0.717199,115.433,4.85019
11.3,0.714455,115.4,4.88601
11.4,0.711712,115.367,4.9217
11.5,0.70897,115.334,4.95725
11.6,0.706229,115.301,4.99267
11.7,0.703489,115.269,5.02794
11.8,0.700751,115.236,5.06308
11.9,0.698015,115.204,5.09808
12,0.69528,115.172,5.13295
12.1,0.692547,115.14,5.16768
12.2,0.689816,115.108,5.20227
12.3,0.687087,115.076,5.23673
12.4,0.68436,115.045,5.27105
12.5,0.681636,115.013,5.30523
12.6,0.678913,114.982,5.33928
12.7,0.676193,114.951,5.37319
12.8,0.673476,114.92,5.40696
12.9,0.670761,114.889,5.4406
13,0.668049,114.858,5.47411
13.1,0.665339,114.827,5.50747
13.2,0.662633,114.797,5.54071
13.3,0.659929,114.766,5.5738
13.4,0.657228,114.736,5.60677
13.5,0.654531,114.706,5.63959
13.6,0.651837,114.676,5.67228
13.7,0.649146,114.646,5.70484
13.8,0.646458,114.616,5.73726
13.9,0.643774,114.587,5.76955
14,0.641093,114.557,5.80171
14.1,0.638416,114.528,5.83373
14.2,0.635743,114.499,5.86562
14.3,0.633073,114.47,5.89737
14.4,0.630408,114.441,5.92899
14.5,0.627746,114.412,5.96047
14.6,0.625089,114.383,5.99183
14.7,0.622435,114.355,6.02305
14.8,0.619786,114.326,6.05414
14.9,0.61714,114.298,6.08509
15,0.6145,114.27,6.11592
15.1,0.611863,114.242,6.14661
15.2,0.609231,114.214,6.17717
15.3,0.606604,114.186,6.20759
15.4,0.603981,114.158,6.23789
15.5,0.601363,114.131,6.26806
15.6,0.59875,114.103,6.29809
15.7,0.596141,114.076,6.328
15.8,0.593537,114.049,6.35777
15.9,0.590939,114.022,6.38741
16,0.588345,113.995,6.41693
16.1,0.585756,113.968,6.44631
16.2,0.583173,113.941,6.47557
16.3,0.580594,113.915,6.50469
16.4,0.578021,113.888,6.53369
16.5,0.575454,113.862,6.56256
16.6,0.572891,113.836,6.5913
16.7,0.570334,113.81,6.61991
16.8,0.567783,113.784,6.64839
16.9,0.565237,113.758,6.67675
17,0.562697,113.732,6.70498
17.1,0.560162,113.707,6.73308
17.2,0.557633,113.681,6.76106
17.3,0.55511,113.656,6.78891
17.4,0.552592,113.631,6.81663
17.5,0.550081,113.606,6.84423
17.6,0.547575,113.581,6.8717
17.7,0.545076,113.556,6.89905
17.8,0.542582,113.531,6.92627
17.9,0.540094,113.507,6.95337
18,0.537613,113.482,6.98034
18.1,0.535138,113.458,7.00719
18.2,0.532669,113.433,7.03391
18.3,0.530206,113.409,7.06052
18.4,0.527749,113.385,7.08699
18.5,0.525299,113.361,7.11335
18.6,0.522855,113.338,7.13958
18.7,0.520418,113.314,7.1657
18.8,0.517987,113.29,7.19169
18.9,0.515562,113.267,7.21755
19,0.513144,113.244,7.2433
19.1,0.510733,113.22,7.26893
19.2,0.508328,113.197,7.29443
19.3,0.50593,113.174,7.31982
19.4,0.503538,113.151,7.34509
19.5,0.501153,113.129,7.37023
19.6,0.498775,113.106,7.39526
